"template_id","ucb_score","flag"
"Paid_Social_Achiever_Week_4_Creativity_and_Feedback_T5","999.000000","V0"
"Inactive_Socialite_Day_1_Scarcity_and_Impatience_T1","0.208056","V0"
"Inactive_Socialite_Day_1_Scarcity_and_Impatience_T2","999.000000","V0"
"Inactive_Socialite_Day_1_Scarcity_and_Impatience_T3","0.212444","V0"
"Inactive_Socialite_Day_1_Scarcity_and_Impatience_T4","-1.000000","V0"
"Inactive_Socialite_Day_1_Scarcity_and_Impatience_T5","999.000000","V0"
"Inactive_Socialite_Day_7_Scarcity_and_Impatience_T1","999.000000","V0"
"Inactive_Socialite_Day_7_Scarcity_and_Impatience_T2","999.000000","V0"
"Inactive_Socialite_Day_7_Scarcity_and_Impatience_T3","999.000000","V0"
"Inactive_Socialite_Day_7_Scarcity_and_Impatience_T4","999.000000","V0"
"Inactive_Socialite_Day_7_Scarcity_and_Impatience_T5","-1.000000","V0"
"Inactive_Socialite_Day_14_Scarcity_and_Impatience_T1","999.000000","V0"
"Inactive_Socialite_Day_14_Scarcity_and_Impatience_T2","999.000000","V0"
"Inactive_Socialite_Day_14_Scarcity_and_Impatience_T3","-1.000000","V0"
"Inactive_Socialite_Day_14_Scarcity_and_Impatience_T4","-1.000000","V0"
"Inactive_Socialite_Day_14_Scarcity_and_Impatience_T5","999.000000","V0"
"Inactive_Socialite_Day_30_Scarcity_and_Impatience_T1","0.244662","V0"
"Inactive_Socialite_Day_30_Scarcity_and_Impatience_T2","999.000000","V0"
"Inactive_Socialite_Day_30_Scarcity_and_Impatience_T3","0.216388","V0"
"Inactive_Socialite_Day_30_Scarcity_and_Impatience_T4","0.230115","V0"
"Inactive_Socialite_Day_30_Scarcity_and_Impatience_T5","0.199821","V0"
"Dormant_Social_Day_1_Unpredictability_T1","0.301438","V0"
"Dormant_Social_Day_1_Unpredictability_T2","-1.000000","V0"
"Dormant_Social_Day_1_Unpredictability_T3","-1.000000","V0"
"Dormant_Social_Day_1_Unpredictability_T4","-1.000000","V0"
"Dormant_Social_Day_1_Unpredictability_T5","999.000000","V0"
"Dormant_Social_Day_7_Unpredictability_T1","999.000000","V0"
"Dormant_Social_Day_7_Unpredictability_T2","999.000000","V0"
"Dormant_Social_Day_7_Unpredictability_T3","0.282792","V0"
"Dormant_Social_Day_7_Unpredictability_T4","0.173306","V0"
"Dormant_Social_Day_7_Unpredictability_T5","999.000000","V0"
"Dormant_Social_Day_14_Unpredictability_T1","0.334393","V0"
"Dormant_Social_Day_14_Unpredictability_T2","999.000000","V0"
"Dormant_Social_Day_14_Unpredictability_T3","-1.000000","V0"
"Dormant_Social_Day_14_Unpredictability_T4","-1.000000","V0"
"Dormant_Social_Day_14_Unpredictability_T5","999.000000","V0"
"Dormant_Social_Day_30_Unpredictability_T1","-1.000000","V0"
"Dormant_Social_Day_30_Unpredictability_T2","999.000000","V0"
"Dormant_Social_Day_30_Unpredictability_T3","999.000000","V0"
"Dormant_Social_Day_30_Unpredictability_T4","999.000000","V0"
"Dormant_Social_Day_30_Unpredictability_T5","0.327120","V0"
"Dormant_Achiever_Day_1_Scarcity_and_Impatience_T1","0.211985","V0"
"Dormant_Achiever_Day_1_Scarcity_and_Impatience_T2","999.000000","V0"
"Dormant_Achiever_Day_1_Scarcity_and_Impatience_T3","0.175608","V0"
"Dormant_Achiever_Day_1_Scarcity_and_Impatience_T4","0.292913","V0"
"Dormant_Achiever_Day_1_Scarcity_and_Impatience_T5","999.000000","V0"
"Dormant_Achiever_Day_7_Scarcity_and_Impatience_T1","999.000000","V0"
"Dormant_Achiever_Day_7_Scarcity_and_Impatience_T2","-1.000000","V0"
"Dormant_Achiever_Day_7_Scarcity_and_Impatience_T3","999.000000","V0"
"Dormant_Achiever_Day_7_Scarcity_and_Impatience_T4","999.000000","V0"
"Dormant_Achiever_Day_7_Scarcity_and_Impatience_T5","999.000000","V0"
"Dormant_Achiever_Day_14_Scarcity_and_Impatience_T1","-1.000000","V0"
"Dormant_Achiever_Day_14_Scarcity_and_Impatience_T2","999.000000","V0"
"Dormant_Achiever_Day_14_Scarcity_and_Impatience_T3","0.196296","V0"
"Dormant_Achiever_Day_14_Scarcity_and_Impatience_T4","999.000000","V0"
"Dormant_Achiever_Day_14_Scarcity_and_Impatience_T5","-1.000000","V0"
"Dormant_Achiever_Day_30_Scarcity_and_Impatience_T1","999.000000","V0"
"Dormant_Achiever_Day_30_Scarcity_and_Impatience_T2","0.264508","V0"
"Dormant_Achiever_Day_30_Scarcity_and_Impatience_T3","0.253008","V0"
"Dormant_Achiever_Day_30_Scarcity_and_Impatience_T4","999.000000","V0"
"Dormant_Achiever_Day_30_Scarcity_and_Impatience_T5","999.000000","V0"
"Dormant_Scholar_Day_1_Creativity_and_Feedback_T1","-1.000000","V0"
"Dormant_Scholar_Day_1_Creativity_and_Feedback_T2","999.000000","V0"
"Dormant_Scholar_Day_1_Creativity_and_Feedback_T3","0.225199","V0"
"Dormant_Scholar_Day_1_Creativity_and_Feedback_T4","-1.000000","V0"
"Dormant_Scholar_Day_1_Creativity_and_Feedback_T5","0.329769","V0"
"Dormant_Scholar_Day_7_Creativity_and_Feedback_T1","0.329867","V0"
"Dormant_Scholar_Day_7_Creativity_and_Feedback_T2","999.000000","V0"
"Dormant_Scholar_Day_7_Creativity_and_Feedback_T3","999.000000","V0"
"Dormant_Scholar_Day_7_Creativity_and_Feedback_T4","-1.000000","V0"
"Dormant_Scholar_Day_7_Creativity_and_Feedback_T5","0.178920","V0"
"Dormant_Scholar_Day_14_Creativity_and_Feedback_T1","0.281921","V0"
"Dormant_Scholar_Day_14_Creativity_and_Feedback_T2","999.000000","V0"
"Dormant_Scholar_Day_14_Creativity_and_Feedback_T3","999.000000","V0"
"Dormant_Scholar_Day_14_Creativity_and_Feedback_T4","0.228327","V0"
"Dormant_Scholar_Day_14_Creativity_and_Feedback_T5","-1.000000","V0"
"Dormant_Scholar_Day_30_Creativity_and_Feedback_T1","999.000000","V0"
"Dormant_Scholar_Day_30_Creativity_and_Feedback_T2","0.218213","V0"
"Dormant_Scholar_Day_30_Creativity_and_Feedback_T3","0.307506","V0"
"Dormant_Scholar_Day_30_Creativity_and_Feedback_T4","999.000000","V0"
"Dormant_Scholar_Day_30_Creativity_and_Feedback_T5","0.334388","V0"
"Paid_Competitive_Week_1_Ownership_and_Possession_T1","-1.000000","V0"
"Paid_Competitive_Week_1_Ownership_and_Possession_T2","-1.000000","V0"
"Paid_Competitive_Week_1_Ownership_and_Possession_T3","0.194423","V0"
"Paid_Competitive_Week_1_Ownership_and_Possession_T4","999.000000","V0"
"Paid_Competitive_Week_1_Ownership_and_Possession_T5","-1.000000","V0"
"Paid_Competitive_Week_2_Ownership_and_Possession_T1","0.171342","V0"
"Paid_Competitive_Week_2_Ownership_and_Possession_T2","999.000000","V0"
"Paid_Competitive_Week_2_Ownership_and_Possession_T3","0.284873","V0"
"Paid_Competitive_Week_2_Ownership_and_Possession_T4","999.000000","V0"
"Paid_Competitive_Week_2_Ownership_and_Possession_T5","0.224599","V0"
"Paid_Competitive_Week_4_Ownership_and_Possession_T1","-1.000000","V0"
"Paid_Competitive_Week_4_Ownership_and_Possession_T2","-1.000000","V0"
"Paid_Competitive_Week_4_Ownership_and_Possession_T3","999.000000","V0"
"Paid_Competitive_Week_4_Ownership_and_Possession_T4","0.268526","V0"
"Paid_Competitive_Week_4_Ownership_and_Possession_T5","999.000000","V0"
"Inactive_Socialite_Day_1_Unpredictability_T1","-1.000000","BAD"
"Inactive_Socialite_Day_1_Unpredictability_T2","0.293940","GOOD"
"Inactive_Socialite_Day_1_Unpredictability_T3","-1.000000","BAD"
"Inactive_Socialite_Day_1_Unpredictability_T4","0.242380","GOOD"
"Inactive_Socialite_Day_1_Unpredictability_T5","0.172630","GOOD"
"Inactive_Socialite_Day_7_Unpredictability_T1","999.000000","NEW"
"Inactive_Socialite_Day_7_Unpredictability_T2","-1.000000","BAD"
"Inactive_Socialite_Day_7_Unpredictability_T3","999.000000","NEW"
"Inactive_Socialite_Day_7_Unpredictability_T4","0.207835","GOOD"
"Inactive_Socialite_Day_7_Unpredictability_T5","0.207463","GOOD"
"Inactive_Socialite_Day_14_Unpredictability_T1","999.000000","NEW"
"Inactive_Socialite_Day_14_Unpredictability_T2","0.331666","GOOD"
"Inactive_Socialite_Day_14_Unpredictability_T3","999.000000","NEW"
"Inactive_Socialite_Day_14_Unpredictability_T4","999.000000","NEW"
"Inactive_Socialite_Day_14_Unpredictability_T5","-1.000000","BAD"
"Inactive_Socialite_Day_30_Unpredictability_T1","-1.000000","BAD"
"Inactive_Socialite_Day_30_Unpredictability_T2","999.000000","NEW"
"Inactive_Socialite_Day_30_Unpredictability_T3","999.000000","NEW"
"Inactive_Socialite_Day_30_Unpredictability_T4","0.237114","GOOD"
"Inactive_Socialite_Day_30_Unpredictability_T5","999.000000","NEW"
"Inactive_Social_Learners_Day_1_Social_Influence_T1","0.325166","GOOD"
"Inactive_Social_Learners_Day_1_Social_Influence_T2","999.000000","NEW"
"Inactive_Social_Learners_Day_1_Social_Influence_T3","999.000000","NEW"
"Inactive_Social_Learners_Day_1_Social_Influence_T4","999.000000","NEW"
"Inactive_Social_Learners_Day_1_Social_Influence_T5","0.173563","GOOD"
"Inactive_Social_Learners_Day_7_Social_Influence_T1","0.196373","GOOD"
"Inactive_Social_Learners_Day_7_Social_Influence_T2","0.193829","GOOD"
"Inactive_Social_Learners_Day_7_Social_Influence_T3","-1.000000","BAD"
"Inactive_Social_Learners_Day_7_Social_Influence_T4","999.000000","NEW"
"Inactive_Social_Learners_Day_7_Social_Influence_T5","999.000000","NEW"
"Inactive_Social_Learners_Day_14_Social_Influence_T1","0.315942","GOOD"
"Inactive_Social_Learners_Day_14_Social_Influence_T2","999.000000","NEW"
"Inactive_Social_Learners_Day_14_Social_Influence_T3","999.000000","NEW"
"Inactive_Social_Learners_Day_14_Social_Influence_T4","-1.000000","BAD"
"Inactive_Social_Learners_Day_14_Social_Influence_T5","999.000000","NEW"
"Inactive_Social_Learners_Day_30_Social_Influence_T1","0.219404","GOOD"
"Inactive_Social_Learners_Day_30_Social_Influence_T2","999.000000","NEW"
"Inactive_Social_Learners_Day_30_Social_Influence_T3","0.343550","GOOD"
"Inactive_Social_Learners_Day_30_Social_Influence_T4","-1.000000","BAD"
"Inactive_Social_Learners_Day_30_Social_Influence_T5","999.000000","NEW"
"Paid_Social_Achiever_Week_1_Creativity_and_Feedback_T1","0.269934","GOOD"
"Paid_Social_Achiever_Week_1_Creativity_and_Feedback_T2","-1.000000","BAD"
"Paid_Social_Achiever_Week_1_Creativity_and_Feedback_T3","-1.000000","BAD"
"Paid_Social_Achiever_Week_1_Creativity_and_Feedback_T4","-1.000000","BAD"
"Paid_Social_Achiever_Week_1_Creativity_and_Feedback_T5","0.263533","GOOD"
"Paid_Social_Achiever_Week_2_Creativity_and_Feedback_T1","-1.000000","BAD"
"Paid_Social_Achiever_Week_2_Creativity_and_Feedback_T2","0.198962","GOOD"
"Paid_Social_Achiever_Week_2_Creativity_and_Feedback_T3","999.000000","NEW"
"Paid_Social_Achiever_Week_2_Creativity_and_Feedback_T4","-1.000000","BAD"
"Paid_Social_Achiever_Week_2_Creativity_and_Feedback_T5","0.241067","GOOD"
"Paid_Social_Achiever_Week_4_Creativity_and_Feedback_T1","-1.000000","BAD"
"Paid_Social_Achiever_Week_4_Creativity_and_Feedback_T2","-1.000000","BAD"
"Paid_Social_Achiever_Week_4_Creativity_and_Feedback_T3","0.178153","GOOD"
"Paid_Social_Achiever_Week_4_Creativity_and_Feedback_T4","999.000000","NEW"
"Paid_Social_Achiever_Week_4_Creativity_and_Feedback_T5","999.000000","NEW"
"Inactive_Socialite_Day_1_Scarcity_and_Impatience_T1","0.208056","GOOD"
"Inactive_Socialite_Day_1_Scarcity_and_Impatience_T2","999.000000","NEW"
"Inactive_Socialite_Day_1_Scarcity_and_Impatience_T3","0.212444","GOOD"
"Inactive_Socialite_Day_1_Scarcity_and_Impatience_T4","-1.000000","BAD"
"Inactive_Socialite_Day_1_Scarcity_and_Impatience_T5","999.000000","NEW"
"Inactive_Socialite_Day_7_Scarcity_and_Impatience_T1","999.000000","NEW"
"Inactive_Socialite_Day_7_Scarcity_and_Impatience_T2","999.000000","NEW"
"Inactive_Socialite_Day_7_Scarcity_and_Impatience_T3","999.000000","NEW"
"Inactive_Socialite_Day_7_Scarcity_and_Impatience_T4","999.000000","NEW"
"Inactive_Socialite_Day_7_Scarcity_and_Impatience_T5","-1.000000","BAD"
"Inactive_Socialite_Day_14_Scarcity_and_Impatience_T1","999.000000","NEW"
"Inactive_Socialite_Day_14_Scarcity_and_Impatience_T2","999.000000","NEW"
"Inactive_Socialite_Day_14_Scarcity_and_Impatience_T3","-1.000000","BAD"
"Inactive_Socialite_Day_14_Scarcity_and_Impatience_T4","-1.000000","BAD"
"Inactive_Socialite_Day_14_Scarcity_and_Impatience_T5","999.000000","NEW"
"Inactive_Socialite_Day_30_Scarcity_and_Impatience_T1","0.244662","GOOD"
"Inactive_Socialite_Day_30_Scarcity_and_Impatience_T2","999.000000","NEW"
"Inactive_Socialite_Day_30_Scarcity_and_Impatience_T3","0.216388","GOOD"
"Inactive_Socialite_Day_30_Scarcity_and_Impatience_T4","0.230115","GOOD"
"Inactive_Socialite_Day_30_Scarcity_and_Impatience_T5","0.199821","GOOD"
"Dormant_Social_Day_1_Unpredictability_T1","0.301438","GOOD"
"Dormant_Social_Day_1_Unpredictability_T2","-1.000000","BAD"
"Dormant_Social_Day_1_Unpredictability_T3","-1.000000","BAD"
"Dormant_Social_Day_1_Unpredictability_T4","-1.000000","BAD"
"Dormant_Social_Day_1_Unpredictability_T5","999.000000","NEW"
"Dormant_Social_Day_7_Unpredictability_T1","999.000000","NEW"
"Dormant_Social_Day_7_Unpredictability_T2","999.000000","NEW"
"Dormant_Social_Day_7_Unpredictability_T3","0.282792","GOOD"
"Dormant_Social_Day_7_Unpredictability_T4","0.173306","GOOD"
"Dormant_Social_Day_7_Unpredictability_T5","999.000000","NEW"
"Dormant_Social_Day_14_Unpredictability_T1","0.334393","GOOD"
"Dormant_Social_Day_14_Unpredictability_T2","999.000000","NEW"
"Dormant_Social_Day_14_Unpredictability_T3","-1.000000","BAD"
"Dormant_Social_Day_14_Unpredictability_T4","-1.000000","BAD"
"Dormant_Social_Day_14_Unpredictability_T5","999.000000","NEW"
"Dormant_Social_Day_30_Unpredictability_T1","-1.000000","BAD"
"Dormant_Social_Day_30_Unpredictability_T2","999.000000","NEW"
"Dormant_Social_Day_30_Unpredictability_T3","999.000000","NEW"
"Dormant_Social_Day_30_Unpredictability_T4","999.000000","NEW"
"Dormant_Social_Day_30_Unpredictability_T5","0.327120","GOOD"
"Dormant_Achiever_Day_1_Scarcity_and_Impatience_T1","0.211985","GOOD"
"Dormant_Achiever_Day_1_Scarcity_and_Impatience_T2","999.000000","NEW"
"Dormant_Achiever_Day_1_Scarcity_and_Impatience_T3","0.175608","GOOD"
"Dormant_Achiever_Day_1_Scarcity_and_Impatience_T4","0.292913","GOOD"
"Dormant_Achiever_Day_1_Scarcity_and_Impatience_T5","999.000000","NEW"
"Dormant_Achiever_Day_7_Scarcity_and_Impatience_T1","999.000000","NEW"
"Dormant_Achiever_Day_7_Scarcity_and_Impatience_T2","-1.000000","BAD"
"Dormant_Achiever_Day_7_Scarcity_and_Impatience_T3","999.000000","NEW"
"Dormant_Achiever_Day_7_Scarcity_and_Impatience_T4","999.000000","NEW"
"Dormant_Achiever_Day_7_Scarcity_and_Impatience_T5","999.000000","NEW"
"Dormant_Achiever_Day_14_Scarcity_and_Impatience_T1","-1.000000","BAD"
"Dormant_Achiever_Day_14_Scarcity_and_Impatience_T2","999.000000","NEW"
"Dormant_Achiever_Day_14_Scarcity_and_Impatience_T3","0.196296","GOOD"
"Dormant_Achiever_Day_14_Scarcity_and_Impatience_T4","999.000000","NEW"
"Dormant_Achiever_Day_14_Scarcity_and_Impatience_T5","-1.000000","BAD"
"Dormant_Achiever_Day_30_Scarcity_and_Impatience_T1","999.000000","NEW"
"Dormant_Achiever_Day_30_Scarcity_and_Impatience_T2","0.264508","GOOD"
"Dormant_Achiever_Day_30_Scarcity_and_Impatience_T3","0.253008","GOOD"
"Dormant_Achiever_Day_30_Scarcity_and_Impatience_T4","999.000000","NEW"
"Dormant_Achiever_Day_30_Scarcity_and_Impatience_T5","999.000000","NEW"
"Dormant_Scholar_Day_1_Creativity_and_Feedback_T1","-1.000000","BAD"
"Dormant_Scholar_Day_1_Creativity_and_Feedback_T2","999.000000","NEW"
"Dormant_Scholar_Day_1_Creativity_and_Feedback_T3","0.225199","GOOD"
"Dormant_Scholar_Day_1_Creativity_and_Feedback_T4","-1.000000","BAD"
"Dormant_Scholar_Day_1_Creativity_and_Feedback_T5","0.329769","GOOD"
"Dormant_Scholar_Day_7_Creativity_and_Feedback_T1","0.329867","GOOD"
"Dormant_Scholar_Day_7_Creativity_and_Feedback_T2","999.000000","NEW"
"Dormant_Scholar_Day_7_Creativity_and_Feedback_T3","999.000000","NEW"
"Dormant_Scholar_Day_7_Creativity_and_Feedback_T4","-1.000000","BAD"
"Dormant_Scholar_Day_7_Creativity_and_Feedback_T5","0.178920","GOOD"
"Dormant_Scholar_Day_14_Creativity_and_Feedback_T1","0.281921","GOOD"
"Dormant_Scholar_Day_14_Creativity_and_Feedback_T2","999.000000","NEW"
"Dormant_Scholar_Day_14_Creativity_and_Feedback_T3","999.000000","NEW"
"Dormant_Scholar_Day_14_Creativity_and_Feedback_T4","0.228327","GOOD"
"Dormant_Scholar_Day_14_Creativity_and_Feedback_T5","-1.000000","BAD"
"Dormant_Scholar_Day_30_Creativity_and_Feedback_T1","999.000000","NEW"
"Dormant_Scholar_Day_30_Creativity_and_Feedback_T2","0.218213","GOOD"
"Dormant_Scholar_Day_30_Creativity_and_Feedback_T3","0.307506","GOOD"
"Dormant_Scholar_Day_30_Creativity_and_Feedback_T4","999.000000","NEW"
"Dormant_Scholar_Day_30_Creativity_and_Feedback_T5","0.334388","GOOD"
"Paid_Competitive_Week_1_Ownership_and_Possession_T1","-1.000000","BAD"
"Paid_Competitive_Week_1_Ownership_and_Possession_T2","-1.000000","BAD"
"Paid_Competitive_Week_1_Ownership_and_Possession_T3","0.194423","GOOD"
"Paid_Competitive_Week_1_Ownership_and_Possession_T4","999.000000","NEW"
"Paid_Competitive_Week_1_Ownership_and_Possession_T5","-1.000000","BAD"
"Paid_Competitive_Week_2_Ownership_and_Possession_T1","0.171342","GOOD"
"Paid_Competitive_Week_2_Ownership_and_Possession_T2","999.000000","NEW"
"Paid_Competitive_Week_2_Ownership_and_Possession_T3","0.284873","GOOD"
"Paid_Competitive_Week_2_Ownership_and_Possession_T4","999.000000","NEW"
"Paid_Competitive_Week_2_Ownership_and_Possession_T5","0.224599","GOOD"
"Paid_Competitive_Week_4_Ownership_and_Possession_T1","-1.000000","BAD"
"Paid_Competitive_Week_4_Ownership_and_Possession_T2","-1.000000","BAD"
"Paid_Competitive_Week_4_Ownership_and_Possession_T3","999.000000","NEW"
"Paid_Competitive_Week_4_Ownership_and_Possession_T4","0.268526","GOOD"
"Paid_Competitive_Week_4_Ownership_and_Possession_T5","999.000000","NEW"
