user_id,lifecycle_stage,days_since_signup,age_band,region,sessions_last_7d,exercises_completed_7d,streak_current,coins_balance,feature_ai_tutor_used,feature_leaderboard_viewed,feature_progress_checked,preferred_hour,notif_open_rate_30d,motivation_score,coins_balance_scaled,streak_scaled,time_window,sessions_last_7d_norm,exercises_completed_7d_norm,days_since_signup_norm,coins_balance_scaled_norm,streak_scaled_norm,notif_open_rate_30d_norm,motivation_score_norm,activeness_score,churn_risk,propensity_gamification,propensity_learning,propensity_achievement,propensity_social,dominant_drive
USR_000011,paid,101,18-24,tier2,17,16,15,360,True,True,True,15,0.318,0.8,3.658965600870301,4.0,late_afternoon,0.7391304347826086,0.8,0.5611111111111111,0.9198616254117464,0.7798360875751452,0.463855421686747,0.8333333333333334,0.9771,0.2464,0.8498,0.92,0.9,0.91,learning
USR_000012,paid,98,25-34,tier1,13,6,26,262,True,True,True,9,0.349,0.84,3.4621739609392486,4.754887502163469,mid_morning,0.5652173913043478,0.3,0.5444444444444444,0.8703883322680874,0.9270082166367787,0.5105421686746987,0.8777777777777778,0.7006,0.3268,0.8987,0.72,0.9267,1.0,social
USR_000013,churned,54,35-44,tier1,1,0,0,6,True,False,False,6,0.102,0.31,1.2090619551221675,0.0,early_morning,0.043478260869565216,0.0,0.3,0.30395740670468363,0.0,0.13855421686746988,0.2888888888888889,0.1287,0.8249,0.152,0.6,0.1733,0.3,learning
USR_000014,trial,6,18-24,tier2,5,6,7,30,False,False,True,20,0.301,0.44,2.133656214977323,3.0,evening,0.21739130434782608,0.3,0.03333333333333333,0.5363998157053146,0.5848770656813589,0.4382530120481927,0.4333333333333334,0.5,0.6355,0.5606,0.12,0.66,0.21,achievement
USR_000015,inactive,35,35-44,tier3,0,0,0,18,False,True,False,20,0.069,0.25,1.8294828004351504,0.0,evening,0.0,0.0,0.19444444444444445,0.4599308127058732,0.0,0.08885542168674698,0.22222222222222227,0.1172,0.8574,0.23,0.0,0.1333,0.82,social
USR_000016,paid,79,45+,tier3,12,9,6,403,True,False,True,8,0.267,0.51,3.7288887204630723,2.807354922057604,early_morning,0.5217391304347826,0.45,0.4388888888888889,0.9374402532149616,0.5473191697130572,0.3870481927710843,0.5111111111111112,0.8157,0.3965,0.7424,0.78,0.7067,0.12,learning
USR_000017,inactive,79,25-34,tier1,0,0,0,39,False,False,False,11,0.052,0.21,2.292029674220179,0.0,mid_morning,0.0,0.0,0.4388888888888889,0.5762148026531458,0.0,0.06325301204819277,0.17777777777777776,0.1172,0.8745,0.2881,0.0,0.1067,0.3,social
USR_000018,trial,5,25-34,tier2,11,3,5,18,False,False,True,13,0.38,0.52,1.8294828004351504,2.584962500721156,afternoon,0.4782608695652174,0.15,0.027777777777777776,0.4599308127058732,0.5039617607727125,0.5572289156626505,0.5222222222222223,0.4735,0.5947,0.4819,0.06,0.7133,0.21,achievement
USR_000019,trial,1,25-34,tier2,3,3,1,27,False,False,True,8,0.489,0.87,2.0704150712689535,1.0,early_morning,0.13043478260869565,0.15,0.005555555555555556,0.5205010323905325,0.1949590218937863,0.7213855421686747,0.9111111111111111,0.2776,0.5775,0.3577,0.06,0.9467,0.21,achievement
USR_000020,paid,9,45+,tier2,13,10,25,293,False,True,False,16,0.295,0.49,3.5314066628037137,4.700439718141093,late_afternoon,0.5652173913043478,0.5,0.05,0.8877933894934262,0.9163931299194921,0.42921686746987947,0.48888888888888893,0.8632,0.4192,0.9021,0.2,0.2933,0.91,social
USR_000021,churned,97,18-24,tier2,1,0,0,16,False,False,True,16,0.029,0.12,1.7603744277225881,0.0,late_afternoon,0.043478260869565216,0.0,0.5388888888888889,0.4425570117502649,0.0,0.028614457831325303,0.07777777777777778,0.1287,0.9038,0.2213,0.0,0.4467,0.21,achievement
USR_000022,trial,0,25-34,tier3,4,9,4,90,True,True,False,15,0.16,0.47,2.8027545962892497,2.321928094887362,late_afternoon,0.17391304347826086,0.45,0.0,0.7046107233037799,0.4526808302869428,0.2259036144578313,0.4666666666666667,0.6542,0.6592,0.5786,0.78,0.28,0.82,social
USR_000023,inactive,59,35-44,tier3,0,0,0,10,False,False,False,7,0.078,0.22,1.4898961024049782,0.0,early_morning,0.0,0.0,0.3277777777777778,0.3745589327559926,0.0,0.10240963855421686,0.18888888888888888,0.1172,0.8637,0.1873,0.0,0.1133,0.12,gamification
USR_000024,inactive,17,35-44,tier3,0,0,0,24,False,False,False,7,0.057,0.14,2.0,0.0,early_morning,0.0,0.0,0.09444444444444444,0.5027987282487452,0.0,0.07078313253012047,0.10000000000000002,0.1172,0.894,0.2514,0.0,0.06,0.12,gamification
USR_000025,inactive,72,35-44,tier1,0,0,0,22,False,False,False,6,0.06,0.09,1.9481920934663797,0.0,early_morning,0.0,0.0,0.4,0.4897742534895781,0.0,0.0753012048192771,0.04444444444444444,0.1172,0.9081,0.2449,0.0,0.0267,0.3,social
USR_000026,paid,76,25-34,tier3,9,4,26,241,True,False,True,17,0.379,0.62,3.4104687628833497,4.754887502163469,late_afternoon,0.391304347826087,0.2,0.4222222222222222,0.8573896783549096,0.9270082166367787,0.555722891566265,0.6333333333333333,0.4823,0.4566,0.8922,0.68,0.78,0.12,gamification
USR_000027,paid,81,25-34,tier2,8,4,15,159,False,True,True,19,0.352,0.73,3.1533827903669653,4.0,evening,0.34782608695652173,0.2,0.45,0.7927584283389948,0.7798360875751452,0.5150602409638554,0.7555555555555555,0.4558,0.4438,0.7863,0.08,0.8533,0.91,social
USR_000028,inactive,29,35-44,tier2,1,0,0,43,False,False,False,13,0.074,0.14,2.3512492185517644,0.0,afternoon,0.043478260869565216,0.0,0.16111111111111112,0.5911025584418415,0.0,0.09638554216867469,0.10000000000000002,0.1287,0.8843,0.2956,0.0,0.06,0.21,gamification
USR_000029,churned,133,18-24,tier2,1,0,0,30,False,False,False,18,0.04,0.23,2.133656214977323,0.0,evening,0.043478260869565216,0.0,0.7388888888888889,0.5363998157053146,0.0,0.04518072289156626,0.2,0.1287,0.8675,0.2682,0.0,0.12,0.21,gamification
USR_000030,churned,51,45+,tier3,0,1,0,2,False,False,False,17,0.03,0.11,0.6826061944859854,0.0,late_afternoon,0.0,0.05,0.2833333333333333,0.17160676324113452,0.0,0.030120481927710836,0.06666666666666667,0.1454,0.8998,0.0858,0.02,0.04,0.12,social
USR_000031,trial,1,25-34,tier3,7,9,4,54,False,True,True,18,0.483,0.76,2.489896102404978,2.321928094887362,evening,0.30434782608695654,0.45,0.005555555555555556,0.6259582968803652,0.4526808302869428,0.7123493975903614,0.788888888888889,0.7224,0.4058,0.5393,0.18,0.8733,0.82,achievement
USR_000032,churned,162,18-24,tier3,1,1,0,48,False,False,False,19,0.048,0.14,2.418123910244335,0.0,evening,0.043478260869565216,0.05,0.9,0.6079148134093673,0.0,0.0572289156626506,0.10000000000000002,0.1591,0.88,0.304,0.02,0.06,0.12,gamification
USR_000033,inactive,78,25-34,tier3,0,0,0,49,False,False,False,20,0.026,0.09,2.4306765580733933,0.0,evening,0.0,0.0,0.43333333333333335,0.6110705410916697,0.0,0.024096385542168672,0.04444444444444444,0.1172,0.9183,0.3055,0.0,0.0267,0.12,gamification
USR_000034,paid,17,25-34,tier2,16,7,12,315,True,True,True,8,0.39,0.9,3.5762437116210197,3.700439718141092,early_morning,0.6956521739130435,0.35,0.09444444444444444,0.8990653950553105,0.7214341080257056,0.572289156626506,0.9444444444444445,0.8049,0.262,0.8102,0.74,0.9667,0.91,achievement
USR_000035,trial,6,25-34,tier1,6,7,6,77,False,False,False,22,0.224,0.39,2.7069753937264607,2.807354922057604,night,0.2608695652173913,0.35,0.03333333333333333,0.6805318926831553,0.5473191697130572,0.322289156626506,0.3777777777777778,0.5876,0.6388,0.6139,0.14,0.2267,0.3,gamification
USR_000036,inactive,83,45+,tier2,1,0,0,29,False,False,False,16,0.058,0.11,2.1132827525593787,0.0,late_afternoon,0.043478260869565216,0.0,0.46111111111111114,0.5312779402084316,0.0,0.07228915662650602,0.06666666666666667,0.1287,0.8981,0.2656,0.0,0.04,0.21,gamification
USR_000037,inactive,64,45+,tier2,1,0,0,21,False,False,False,8,0.04,0.14,1.9205726604783713,0.0,early_morning,0.043478260869565216,0.0,0.35555555555555557,0.48283074559891703,0.0,0.04518072289156626,0.10000000000000002,0.1287,0.8945,0.2414,0.0,0.06,0.21,gamification
USR_000038,churned,137,25-34,tier3,0,0,0,48,False,False,False,19,0.09,0.26,2.418123910244335,0.0,evening,0.0,0.0,0.7611111111111111,0.6079148134093673,0.0,0.12048192771084337,0.23333333333333336,0.1172,0.8481,0.304,0.0,0.14,0.12,gamification
USR_000039,trial,2,18-24,tier3,5,6,0,36,False,True,True,19,0.537,0.87,2.2435894449529292,0.0,evening,0.21739130434782608,0.3,0.011111111111111112,0.5640369598173204,0.0,0.7936746987951807,0.9111111111111111,0.5,0.4535,0.282,0.12,0.9467,0.82,achievement
USR_000040,churned,178,18-24,tier2,0,0,0,6,False,False,True,20,0.095,0.39,1.2090619551221675,0.0,evening,0.0,0.0,0.9888888888888889,0.30395740670468363,0.0,0.1280120481927711,0.3777777777777778,0.1172,0.8076,0.152,0.0,0.6267,0.21,achievement
USR_000041,churned,60,18-24,tier2,2,1,0,31,False,True,False,8,0.064,0.26,2.1533827903669653,0.0,early_morning,0.08695652173913043,0.05,0.3333333333333333,0.5413590642146222,0.0,0.08132530120481928,0.23333333333333336,0.1738,0.8333,0.2707,0.02,0.14,0.91,social
USR_000042,trial,7,45+,tier2,8,4,4,56,True,False,True,11,0.33,0.79,2.512088994921136,2.321928094887362,mid_morning,0.34782608695652173,0.2,0.03888888888888889,0.6315375759470078,0.4526808302869428,0.4819277108433735,0.8222222222222223,0.4558,0.5298,0.5421,0.68,0.8933,0.21,achievement
USR_000043,trial,1,35-44,tier3,4,5,4,50,False,True,True,10,0.318,0.62,2.4429806222085735,2.321928094887362,mid_morning,0.17391304347826086,0.25,0.005555555555555556,0.6141637749913994,0.4526808302869428,0.463855421686747,0.6333333333333333,0.4124,0.6644,0.5334,0.1,0.78,0.82,social
USR_000044,churned,100,18-24,tier3,1,1,0,28,False,False,False,18,0.09,0.17,2.0922185341675,0.0,evening,0.043478260869565216,0.05,0.5555555555555556,0.5259824090989363,0.0,0.12048192771084337,0.13333333333333336,0.1591,0.8584,0.263,0.02,0.08,0.12,gamification
USR_000045,churned,92,18-24,tier1,0,1,0,16,False,False,False,20,0.047,0.26,1.7603744277225881,0.0,evening,0.0,0.05,0.5111111111111111,0.4425570117502649,0.0,0.05572289156626505,0.23333333333333336,0.1454,0.8497,0.2213,0.02,0.14,0.3,social
USR_000046,trial,2,25-34,tier2,4,8,2,80,False,False,False,20,0.266,0.69,2.7304247779439415,1.5849625007211563,evening,0.17391304347826086,0.4,0.011111111111111112,0.6864270529645381,0.3090027388789262,0.38554216867469876,0.711111111111111,0.5962,0.5697,0.4977,0.16,0.4267,0.21,gamification
USR_000047,trial,4,18-24,tier2,3,2,2,24,False,False,True,8,0.288,0.87,2.0,1.5849625007211563,early_morning,0.13043478260869565,0.1,0.022222222222222223,0.5027987282487452,0.3090027388789262,0.41867469879518066,0.9111111111111111,0.2307,0.6164,0.4059,0.04,0.9467,0.21,achievement
USR_000048,paid,118,18-24,tier1,12,16,14,352,False,True,True,19,0.347,0.53,3.645041546250703,3.9068905956085187,evening,0.5217391304347826,0.8,0.6555555555555556,0.9163611269343465,0.761683569165869,0.5075301204819276,0.5333333333333334,0.9617,0.317,0.839,0.32,0.72,1.0,social
USR_000049,paid,87,25-34,tier2,8,11,15,246,False,False,True,18,0.485,0.7,3.423175441602233,4.0,evening,0.34782608695652173,0.55,0.48333333333333334,0.8605841293049696,0.7798360875751452,0.7153614457831324,0.7222222222222222,0.8262,0.2826,0.8202,0.22,0.8333,0.21,achievement
USR_000050,paid,38,18-24,tier1,7,5,3,188,True,True,True,20,0.516,0.7,3.256880538580124,2.0,evening,0.30434782608695654,0.25,0.2111111111111111,0.8187776964280872,0.3899180437875726,0.7620481927710843,0.7222222222222222,0.4911,0.3949,0.6043,0.7,0.8333,1.0,social
USR_000051,churned,180,35-44,tier3,1,1,0,19,False,False,False,6,0.035,0.24,1.8613531161467862,0.0,early_morning,0.043478260869565216,0.05,1.0,0.4679429898102215,0.0,0.03765060240963856,0.21111111111111114,0.1591,0.8539,0.234,0.02,0.1267,0.12,gamification
USR_000052,paid,64,35-44,tier3,6,12,19,354,True,True,True,5,0.455,0.83,3.6485519224500402,4.321928094887363,night,0.2608695652173913,0.6,0.35555555555555557,0.9172436332786973,0.8425988740745155,0.6701807228915663,0.8666666666666667,0.8312,0.2538,0.8799,0.84,0.92,0.82,achievement
USR_000053,trial,0,18-24,tier2,13,8,2,112,False,False,False,23,0.195,0.42,2.9372912009775383,1.5849625007211563,night,0.5652173913043478,0.4,0.0,0.7384331401738677,0.3090027388789262,0.27861445783132527,0.41111111111111115,0.7935,0.5977,0.5237,0.16,0.2467,0.21,gamification
USR_000054,paid,68,35-44,tier3,9,7,18,243,True,True,True,20,0.583,0.8,3.4155826595257293,4.247927513443585,evening,0.391304347826087,0.35,0.37777777777777777,0.8586753087190017,0.8281717930966652,0.8629518072289155,0.8333333333333334,0.6622,0.2882,0.8434,0.74,0.9,0.82,achievement
USR_000055,trial,6,18-24,tier1,11,8,0,96,False,True,True,20,0.359,0.83,2.8424277464575374,0.0,evening,0.4782608695652174,0.4,0.03333333333333333,0.7145845280288982,0.0,0.5256024096385542,0.8666666666666667,0.7565,0.3748,0.3573,0.16,0.92,1.0,social
USR_000056,churned,103,18-24,tier2,1,1,0,5,False,False,True,19,0.086,0.39,1.1132827525593785,0.0,evening,0.043478260869565216,0.05,0.5722222222222222,0.27987857608405897,0.0,0.1144578313253012,0.3777777777777778,0.1591,0.7936,0.1399,0.02,0.6267,0.21,achievement
USR_000057,trial,1,35-44,tier1,7,2,5,14,False,False,True,14,0.282,0.47,1.6826061944859854,2.584962500721156,afternoon,0.30434782608695654,0.1,0.005555555555555556,0.4230061273655071,0.5039617607727125,0.4096385542168674,0.4666666666666667,0.3145,0.7783,0.4635,0.04,0.68,0.3,achievement
USR_000058,paid,120,35-44,tier2,6,4,22,188,True,True,True,5,0.563,0.84,3.256880538580124,4.523561956057013,night,0.2608695652173913,0.2,0.6666666666666666,0.8187776964280872,0.8819092144288181,0.8328313253012046,0.8777777777777778,0.4038,0.3758,0.8503,0.68,0.9267,0.91,achievement
USR_000059,paid,105,25-34,tier2,13,10,12,397,False,True,True,19,0.276,0.58,3.7195917649476633,3.700439718141092,evening,0.5652173913043478,0.5,0.5833333333333334,0.9351030045100953,0.7214341080257056,0.4006024096385542,0.5888888888888889,0.8632,0.3581,0.8283,0.2,0.7533,0.91,social
USR_000060,paid,27,25-34,tier3,12,4,16,210,False,True,True,17,0.45,0.77,3.3252964231356783,4.08746284125034,late_afternoon,0.5217391304347826,0.2,0.15,0.8359774063013601,0.7968877575573631,0.6626506024096386,0.8,0.5617,0.3684,0.8164,0.08,0.88,0.82,achievement
USR_000061,inactive,47,45+,tier1,0,0,0,48,False,False,False,8,0.062,0.21,2.418123910244335,0.0,early_morning,0.0,0.0,0.2611111111111111,0.6079148134093673,0.0,0.07831325301204818,0.17777777777777776,0.1172,0.8715,0.304,0.0,0.1067,0.3,gamification
USR_000062,paid,38,25-34,tier2,15,17,31,380,True,True,True,20,0.461,0.84,3.692468860845251,5.0,evening,0.6521739130434783,0.85,0.2111111111111111,0.9282843236655425,0.9747951094689316,0.6792168674698795,0.8777777777777778,0.9779,0.1967,0.9515,0.94,0.9267,0.91,gamification
USR_000063,trial,5,35-44,tier2,6,3,2,36,True,True,False,12,0.398,0.7,2.2435894449529292,1.5849625007211563,afternoon,0.2608695652173913,0.15,0.027777777777777776,0.5640369598173204,0.3090027388789262,0.5843373493975903,0.7222222222222222,0.3458,0.5855,0.4365,0.66,0.4333,0.91,social
USR_000064,inactive,46,18-24,tier2,1,0,0,19,False,False,False,23,0.079,0.17,1.8613531161467862,0.0,night,0.043478260869565216,0.0,0.25555555555555554,0.4679429898102215,0.0,0.10391566265060241,0.13333333333333336,0.1287,0.8738,0.234,0.0,0.08,0.21,gamification
USR_000065,paid,116,25-34,tier2,10,18,27,516,True,True,True,19,0.264,0.55,3.882127310558344,4.807354922057604,evening,0.43478260869565216,0.9,0.6444444444444445,0.9759643373242284,0.9372372135006297,0.3825301204819277,0.5555555555555556,0.9709,0.3307,0.9566,0.96,0.7333,0.91,learning
USR_000066,trial,0,35-44,tier3,10,7,5,63,False,True,False,7,0.241,0.77,2.5840593484403582,2.584962500721156,early_morning,0.43478260869565216,0.35,0.0,0.6496308770575465,0.5039617607727125,0.3478915662650602,0.8,0.6855,0.507,0.5768,0.14,0.48,0.82,social
USR_000067,churned,65,25-34,tier2,1,1,0,47,False,False,False,7,0.048,0.19,2.405312426779558,0.0,early_morning,0.043478260869565216,0.05,0.3611111111111111,0.6046940146128323,0.0,0.0572289156626506,0.15555555555555559,0.1591,0.865,0.3023,0.02,0.0933,0.21,gamification
USR_000068,paid,120,18-24,tier3,21,12,30,319,True,True,True,21,0.579,0.87,3.5840593484403582,4.954196310386876,night,0.9130434782608695,0.6,0.6666666666666666,0.9010302411819191,0.9658652669428303,0.8569277108433734,0.9111111111111111,0.9604,0.163,0.9334,0.84,0.9467,0.82,achievement
USR_000069,paid,36,18-24,tier3,19,15,32,504,True,True,True,9,0.519,0.94,3.867535604316286,5.044394119358453,mid_morning,0.8260869565217391,0.75,0.2,0.9722959916534853,0.9834501435568916,0.766566265060241,0.9888888888888889,0.9763,0.1546,0.9779,0.9,0.9933,0.82,achievement
USR_000070,churned,125,25-34,tier2,0,0,0,44,False,False,False,7,0.117,0.37,2.3652123889719707,0.0,early_morning,0.0,0.0,0.6944444444444444,0.5946128906066416,0.0,0.16114457831325302,0.3555555555555556,0.1172,0.807,0.2973,0.0,0.2133,0.21,gamification
USR_000071,trial,0,25-34,tier1,5,5,0,55,True,True,False,19,0.512,0.8,2.5010916293423473,0.0,evening,0.21739130434782608,0.25,0.0,0.6287728452334571,0.0,0.7560240963855421,0.8333333333333334,0.4383,0.5173,0.3144,0.7,0.5,1.0,social
USR_000072,paid,91,25-34,tier3,6,10,14,274,True,True,True,22,0.637,0.93,3.4898961024049786,3.9068905956085187,night,0.2608695652173913,0.5,0.5055555555555555,0.8773576610047379,0.761683569165869,0.9442771084337349,0.9777777777777779,0.7499,0.2069,0.8195,0.8,0.9867,0.82,achievement
USR_000073,paid,58,45+,tier2,8,15,25,412,True,True,True,20,0.31,0.78,3.742578415995695,4.700439718141093,evening,0.34782608695652173,0.75,0.32222222222222224,0.9408818339669193,0.9163931299194921,0.4518072289156626,0.8111111111111111,0.9276,0.2718,0.9286,0.9,0.8867,0.91,gamification
USR_000074,inactive,84,35-44,tier1,0,0,0,8,False,False,True,19,0.018,0.11,1.3652123889719707,0.0,evening,0.0,0.0,0.4666666666666667,0.34321352648226905,0.0,0.012048192771084335,0.06666666666666667,0.1172,0.9147,0.1716,0.0,0.44,0.3,achievement
USR_000075,paid,118,35-44,tier1,4,3,20,207,True,True,True,18,0.413,0.52,3.3163988734606544,4.392317422778761,evening,0.17391304347826086,0.15,0.6555555555555556,0.8337405679707941,0.8563219085919834,0.6069277108433734,0.5222222222222223,0.2994,0.5403,0.845,0.66,0.7133,1.0,social
USR_000076,paid,65,25-34,tier2,13,18,4,602,False,True,True,22,0.325,0.85,3.9777348024845396,2.321928094887362,night,0.5652173913043478,0.9,0.3611111111111111,1.0,0.4526808302869428,0.47439759036144574,0.888888888888889,0.9787,0.2304,0.7263,0.36,0.9333,0.91,achievement
USR_000077,paid,64,18-24,tier3,6,5,21,261,True,True,True,16,0.558,0.53,3.4598069678497754,4.459431618637297,late_afternoon,0.2608695652173913,0.25,0.35555555555555557,0.8697932717105071,0.8694064265717518,0.8253012048192772,0.5333333333333334,0.4646,0.439,0.8696,0.7,0.72,0.82,gamification
USR_000078,paid,22,25-34,tier3,17,13,23,373,True,True,True,14,0.46,0.82,3.6809470882009596,4.584962500721157,afternoon,0.7391304347826086,0.65,0.12222222222222222,0.925387757349182,0.8938798045602853,0.677710843373494,0.8555555555555555,0.9531,0.2113,0.9096,0.86,0.9133,0.82,achievement
USR_000079,trial,2,18-24,tier2,10,6,0,78,False,False,True,12,0.162,0.44,2.7148905954742335,0.0,afternoon,0.43478260869565216,0.3,0.011111111111111112,0.6825217693694615,0.0,0.2289156626506024,0.4333333333333334,0.6298,0.681,0.3413,0.12,0.66,0.21,achievement
USR_000080,paid,119,25-34,tier2,15,15,27,482,False,True,True,17,0.374,0.82,3.8398602430745323,4.807354922057604,late_afternoon,0.6521739130434783,0.75,0.6611111111111111,0.9653384234353961,0.9372372135006297,0.5481927710843373,0.8555555555555555,0.9642,0.2305,0.9513,0.3,0.9133,0.91,gamification
USR_000081,churned,59,25-34,tier2,2,1,0,42,False,False,False,18,0.021,0.35,2.336965027750064,0.0,evening,0.08695652173913043,0.05,0.3277777777777778,0.5875115219572629,0.0,0.016566265060240965,0.33333333333333337,0.1738,0.8192,0.2938,0.02,0.2,0.21,gamification
USR_000082,churned,109,18-24,tier1,2,0,0,33,False,True,False,23,0.025,0.14,2.1910509857959815,0.0,night,0.08695652173913043,0.0,0.6055555555555555,0.5508288245931894,0.0,0.022590361445783132,0.10000000000000002,0.141,0.8941,0.2754,0.0,0.06,1.0,social
USR_000083,trial,5,25-34,tier2,6,4,6,48,False,True,False,7,0.195,0.7,2.418123910244335,2.807354922057604,early_morning,0.2608695652173913,0.2,0.027777777777777776,0.6079148134093673,0.5473191697130572,0.27861445783132527,0.7222222222222222,0.4038,0.627,0.5776,0.08,0.4333,0.91,social
USR_000084,churned,99,25-34,tier2,0,1,0,38,False,False,False,13,0.038,0.13,2.276298835653068,0.0,afternoon,0.0,0.05,0.55,0.572260079840231,0.0,0.04216867469879517,0.0888888888888889,0.1454,0.8914,0.2861,0.02,0.0533,0.21,gamification
USR_000085,trial,2,18-24,tier3,10,4,0,60,False,True,True,15,0.346,0.65,2.554229543378943,0.0,late_afternoon,0.43478260869565216,0.2,0.011111111111111112,0.6421316830331528,0.0,0.5060240963855421,0.6666666666666667,0.5089,0.5972,0.3211,0.08,0.8,0.82,social
USR_000086,churned,40,18-24,tier3,1,1,0,20,False,False,False,16,0.059,0.19,1.8916681496081529,0.0,late_afternoon,0.043478260869565216,0.05,0.2222222222222222,0.4755641699458181,0.0,0.07379518072289155,0.15555555555555559,0.1591,0.8617,0.2378,0.02,0.0933,0.12,gamification
USR_000087,trial,5,45+,tier2,3,7,1,49,False,True,True,8,0.268,0.62,2.4306765580733933,1.0,early_morning,0.13043478260869565,0.35,0.027777777777777776,0.6110705410916697,0.1949590218937863,0.3885542168674699,0.6333333333333333,0.5089,0.5831,0.403,0.14,0.78,0.91,social
USR_000088,trial,3,25-34,tier2,11,5,5,75,False,True,True,9,0.392,0.81,2.690835916581937,2.584962500721156,mid_morning,0.4782608695652174,0.25,0.016666666666666666,0.6764744383917222,0.5039617607727125,0.575301204819277,0.8444444444444446,0.5962,0.4811,0.5902,0.1,0.9067,0.91,social
USR_000089,trial,7,45+,tier2,8,7,2,49,False,False,True,17,0.393,0.77,2.4306765580733933,1.5849625007211563,late_afternoon,0.34782608695652173,0.35,0.03888888888888889,0.6110705410916697,0.3090027388789262,0.5768072289156626,0.8,0.638,0.4355,0.46,0.14,0.88,0.21,achievement
USR_000090,paid,109,25-34,tier2,9,5,17,239,True,True,True,7,0.552,0.64,3.405312426779558,4.169925001442312,early_morning,0.391304347826087,0.25,0.6055555555555555,0.8560933787372049,0.8129644996516386,0.8162650602409639,0.6555555555555556,0.5442,0.3823,0.8345,0.7,0.7933,0.91,social
USR_000091,paid,102,25-34,tier3,18,10,24,271,True,True,True,7,0.33,0.79,3.4830806600161606,4.643856189774724,early_morning,0.782608695652174,0.5,0.5666666666666667,0.8756442631219628,0.9053616605738856,0.4819277108433735,0.8222222222222223,0.9148,0.2683,0.8905,0.8,0.8933,0.82,achievement
USR_000092,paid,64,18-24,tier1,20,11,20,286,False,True,True,20,0.291,0.66,3.5164340121702913,4.392317422778761,evening,0.8695652173913043,0.55,0.35555555555555557,0.8840292746449274,0.8563219085919834,0.4231927710843373,0.6777777777777778,0.9445,0.3032,0.8702,0.22,0.8067,1.0,social
