user_id,lifecycle_stage,days_since_signup,age_band,region,sessions_last_7d,exercises_completed_7d,streak_current,coins_balance,feature_ai_tutor_used,feature_leaderboard_viewed,feature_progress_checked,preferred_hour,notif_open_rate_30d,motivation_score
USR_000031,trial,1,25-34,tier3,7,9,4,54,False,True,True,18,0.483,0.76
USR_000032,churned,162,18-24,tier3,1,1,0,48,False,False,False,19,0.048,0.14
USR_000033,inactive,78,25-34,tier3,0,0,0,49,False,False,False,20,0.026,0.09
USR_000034,paid,17,25-34,tier2,16,7,12,315,True,True,True,8,0.39,0.9
USR_000035,trial,6,25-34,tier1,6,7,6,77,False,False,False,22,0.224,0.39
USR_000036,inactive,83,45+,tier2,1,0,0,29,False,False,False,16,0.058,0.11
USR_000037,inactive,64,45+,tier2,1,0,0,21,False,False,False,8,0.04,0.14
USR_000038,churned,137,25-34,tier3,0,0,0,48,False,False,False,19,0.09,0.26
USR_000039,trial,2,18-24,tier3,5,6,0,36,False,True,True,19,0.537,0.87
USR_000040,churned,178,18-24,tier2,0,0,0,6,False,False,True,20,0.095,0.39
USR_000041,churned,60,18-24,tier2,2,1,0,31,False,True,False,8,0.064,0.26
USR_000042,trial,7,45+,tier2,8,4,4,56,True,False,True,11,0.33,0.79
USR_000043,trial,1,35-44,tier3,4,5,4,50,False,True,True,10,0.318,0.62
USR_000044,churned,100,18-24,tier3,1,1,0,28,False,False,False,18,0.09,0.17
USR_000045,churned,92,18-24,tier1,0,1,0,16,False,False,False,20,0.047,0.26
USR_000046,trial,2,25-34,tier2,4,8,2,80,False,False,False,20,0.266,0.69
USR_000047,trial,4,18-24,tier2,3,2,2,24,False,False,True,8,0.288,0.87
USR_000048,paid,118,18-24,tier1,12,16,14,352,False,True,True,19,0.347,0.53
USR_000049,paid,87,25-34,tier2,8,11,15,246,False,False,True,18,0.485,0.7
USR_000050,paid,38,18-24,tier1,7,5,3,188,True,True,True,20,0.516,0.7
USR_000051,churned,180,35-44,tier3,1,1,0,19,False,False,False,6,0.035,0.24
USR_000052,paid,64,35-44,tier3,6,12,19,354,True,True,True,5,0.455,0.83
USR_000053,trial,0,18-24,tier2,13,8,2,112,False,False,False,23,0.195,0.42
USR_000054,paid,68,35-44,tier3,9,7,18,243,True,True,True,20,0.583,0.8
USR_000055,trial,6,18-24,tier1,11,8,0,96,False,True,True,20,0.359,0.83
USR_000056,churned,103,18-24,tier2,1,1,0,5,False,False,True,19,0.086,0.39
USR_000057,trial,1,35-44,tier1,7,2,5,14,False,False,True,14,0.282,0.47
USR_000058,paid,120,35-44,tier2,6,4,22,188,True,True,True,5,0.563,0.84
USR_000059,paid,105,25-34,tier2,13,10,12,397,False,True,True,19,0.276,0.58
USR_000060,paid,27,25-34,tier3,12,4,16,210,False,True,True,17,0.45,0.77
USR_000061,inactive,47,45+,tier1,0,0,0,48,False,False,False,8,0.062,0.21
USR_000062,paid,38,25-34,tier2,15,17,31,380,True,True,True,20,0.461,0.84
USR_000063,trial,5,35-44,tier2,6,3,2,36,True,True,False,12,0.398,0.7
USR_000064,inactive,46,18-24,tier2,1,0,0,19,False,False,False,23,0.079,0.17
USR_000065,paid,116,25-34,tier2,10,18,27,516,True,True,True,19,0.264,0.55
USR_000066,trial,0,35-44,tier3,10,7,5,63,False,True,False,7,0.241,0.77
USR_000067,churned,65,25-34,tier2,1,1,0,47,False,False,False,7,0.048,0.19
USR_000068,paid,120,18-24,tier3,21,12,30,319,True,True,True,21,0.579,0.87
USR_000069,paid,36,18-24,tier3,19,15,32,504,True,True,True,9,0.519,0.94
USR_000070,churned,125,25-34,tier2,0,0,0,44,False,False,False,7,0.117,0.37
USR_000071,trial,0,25-34,tier1,5,5,0,55,True,True,False,19,0.512,0.8
USR_000072,paid,91,25-34,tier3,6,10,14,274,True,True,True,22,0.637,0.93
USR_000073,paid,58,45+,tier2,8,15,25,412,True,True,True,20,0.31,0.78
USR_000074,inactive,84,35-44,tier1,0,0,0,8,False,False,True,19,0.018,0.11
USR_000075,paid,118,35-44,tier1,4,3,20,207,True,True,True,18,0.413,0.52
USR_000076,paid,65,25-34,tier2,13,18,4,602,False,True,True,22,0.325,0.85
USR_000077,paid,64,18-24,tier3,6,5,21,261,True,True,True,16,0.558,0.53
USR_000078,paid,22,25-34,tier3,17,13,23,373,True,True,True,14,0.46,0.82
USR_000079,trial,2,18-24,tier2,10,6,0,78,False,False,True,12,0.162,0.44
USR_000080,paid,119,25-34,tier2,15,15,27,482,False,True,True,17,0.374,0.82
USR_000081,churned,59,25-34,tier2,2,1,0,42,False,False,False,18,0.021,0.35
USR_000082,churned,109,18-24,tier1,2,0,0,33,False,True,False,23,0.025,0.14
USR_000083,trial,5,25-34,tier2,6,4,6,48,False,True,False,7,0.195,0.7
USR_000084,churned,99,25-34,tier2,0,1,0,38,False,False,False,13,0.038,0.13
USR_000085,trial,2,18-24,tier3,10,4,0,60,False,True,True,15,0.346,0.65
USR_000086,churned,40,18-24,tier3,1,1,0,20,False,False,False,16,0.059,0.19
USR_000087,trial,5,45+,tier2,3,7,1,49,False,True,True,8,0.268,0.62
USR_000088,trial,3,25-34,tier2,11,5,5,75,False,True,True,9,0.392,0.81
USR_000089,trial,7,45+,tier2,8,7,2,49,False,False,True,17,0.393,0.77
USR_000090,paid,109,25-34,tier2,9,5,17,239,True,True,True,7,0.552,0.64
USR_000091,paid,102,25-34,tier3,18,10,24,271,True,True,True,7,0.33,0.79
USR_000092,paid,64,18-24,tier1,20,11,20,286,False,True,True,20,0.291,0.66
USR_000093,trial,4,25-34,tier2,9,7,6,105,True,False,True,14,0.53,0.84
USR_000094,paid,47,25-34,tier3,13,13,11,479,False,False,False,21,0.288,0.56
USR_000095,paid,35,25-34,tier1,9,13,7,279,True,True,True,16,0.511,0.9
USR_000096,inactive,33,25-34,tier2,0,0,0,28,False,False,False,18,0.027,0.25
USR_000097,paid,37,35-44,tier3,11,7,22,280,False,True,False,21,0.421,0.64
USR_000098,paid,33,25-34,tier1,16,5,9,166,False,True,True,20,0.581,0.75
USR_000099,churned,67,18-24,tier3,2,0,0,24,False,False,False,17,0.062,0.35
USR_000100,inactive,26,25-34,tier1,1,0,0,28,False,False,False,8,0.055,0.08
USR_000101,paid,35,35-44,tier1,14,9,19,282,True,True,True,5,0.405,0.63
USR_000102,trial,0,35-44,tier2,8,6,4,78,True,True,False,7,0.355,0.52
USR_000103,inactive,78,18-24,tier2,1,0,0,4,False,False,False,21,0.036,0.27
USR_000104,trial,5,25-34,tier2,4,5,2,35,False,False,False,16,0.232,0.72
USR_000105,trial,4,35-44,tier2,4,7,5,105,False,True,False,14,0.164,0.53
USR_000106,trial,5,25-34,tier3,5,8,3,80,False,False,True,9,0.379,0.6
USR_000107,inactive,68,25-34,tier3,0,0,0,27,False,False,False,13,0.052,0.19
USR_000108,trial,5,25-34,tier2,8,5,4,35,True,False,True,16,0.442,0.8
USR_000109,inactive,70,18-24,tier2,0,0,0,23,False,False,False,20,0.075,0.14
USR_000110,paid,54,18-24,tier1,11,13,10,398,False,True,True,19,0.338,0.55
USR_000111,trial,7,25-34,tier2,5,3,0,45,False,False,False,22,0.443,0.49
USR_000112,trial,4,18-24,tier2,12,8,7,96,False,False,True,14,0.217,0.72
USR_000113,trial,2,25-34,tier2,8,2,2,20,False,True,False,20,0.213,0.9
USR_000114,paid,52,25-34,tier2,7,16,18,351,False,True,True,20,0.577,0.76
USR_000115,trial,5,18-24,tier3,12,6,2,36,True,False,True,20,0.322,0.44
USR_000116,paid,27,18-24,tier3,8,14,30,355,False,True,True,11,0.583,0.65
USR_000117,churned,157,25-34,tier2,2,1,0,10,False,False,False,16,0.089,0.19
USR_000118,paid,85,25-34,tier1,6,15,11,424,True,True,True,16,0.35,0.9
USR_000119,trial,0,25-34,tier1,5,4,4,28,False,True,True,17,0.244,0.5
USR_000120,paid,47,25-34,tier2,13,5,14,248,True,True,True,12,0.483,0.71
USR_000121,paid,120,35-44,tier2,8,8,13,382,True,True,True,8,0.364,0.49
USR_000122,trial,1,45+,tier2,3,2,2,10,False,True,True,14,0.319,0.8
USR_000123,trial,7,18-24,tier2,8,3,7,42,False,True,True,19,0.396,0.47
USR_000124,trial,4,35-44,tier2,6,2,2,28,False,True,False,19,0.325,0.43
USR_000125,paid,107,45+,tier3,11,6,3,160,True,True,True,9,0.529,0.61
USR_000126,paid,64,25-34,tier1,9,5,20,252,False,False,True,19,0.293,0.65
USR_000127,trial,6,18-24,tier2,6,3,7,42,False,False,False,20,0.373,0.57
USR_000128,paid,46,45+,tier2,7,15,9,393,True,True,True,8,0.549,0.56
USR_000129,trial,6,25-34,tier2,10,10,5,120,True,False,True,15,0.234,0.55
USR_000130,trial,4,35-44,tier2,4,6,3,72,False,False,False,5,0.272,0.49
USR_000131,trial,2,35-44,tier1,5,8,5,48,True,False,True,17,0.435,0.55
USR_000132,churned,39,18-24,tier3,3,0,0,18,False,False,False,18,0.112,0.15
USR_000133,inactive,27,18-24,tier2,2,0,0,7,False,False,False,18,0.029,0.21
USR_000134,trial,2,25-34,tier2,3,4,2,40,True,False,False,15,0.318,0.74
USR_000135,trial,2,25-34,tier1,6,9,0,81,False,True,True,17,0.333,0.56
USR_000136,churned,60,25-34,tier1,1,0,0,23,False,False,False,18,0.13,0.36
USR_000137,paid,27,18-24,tier1,12,18,13,400,False,True,True,22,0.57,0.82
USR_000138,paid,80,25-34,tier1,6,14,26,423,True,True,False,15,0.47,0.56
USR_000139,inactive,30,25-34,tier1,0,0,0,37,False,False,False,20,0.061,0.16
USR_000140,trial,0,25-34,tier3,11,2,6,22,False,False,False,23,0.327,0.42
USR_000141,paid,56,35-44,tier2,10,12,19,254,True,True,True,15,0.458,0.7
USR_000142,churned,169,45+,tier2,1,0,0,42,False,False,False,16,0.02,0.21
USR_000143,paid,10,35-44,tier3,7,4,17,128,True,False,True,5,0.411,0.63
USR_000144,trial,5,45+,tier1,6,6,4,78,False,False,False,9,0.221,0.42
USR_000145,inactive,68,35-44,tier3,1,0,0,11,False,False,False,13,0.03,0.19
USR_000146,churned,106,25-34,tier3,2,0,0,21,False,False,False,15,0.041,0.12
USR_000147,paid,19,35-44,tier3,11,14,3,396,True,True,True,18,0.452,0.6
USR_000148,trial,0,35-44,tier2,4,3,4,24,False,False,False,17,0.306,0.73
USR_000149,paid,76,35-44,tier2,13,7,12,256,True,True,True,18,0.419,0.85
USR_000150,trial,2,18-24,tier3,3,7,4,91,True,True,True,19,0.259,0.76
USR_000151,churned,155,25-34,tier2,3,1,0,34,False,False,False,16,0.11,0.15
USR_000152,inactive,23,45+,tier2,1,0,0,23,False,False,False,5,0.044,0.14
USR_000153,trial,7,25-34,tier3,8,2,3,30,True,False,True,12,0.321,0.61
USR_000154,paid,20,45+,tier1,10,5,15,192,True,False,True,19,0.388,0.5
USR_000155,trial,0,35-44,tier1,3,4,3,56,True,True,False,13,0.355,0.37
USR_000156,inactive,19,45+,tier3,0,0,0,42,False,False,False,8,0.047,0.16
USR_000157,trial,3,35-44,tier2,7,7,4,91,True,True,True,19,0.278,0.57
USR_000158,trial,1,35-44,tier1,6,8,0,80,False,True,False,20,0.274,0.53
USR_000159,trial,7,18-24,tier3,5,7,2,42,False,True,False,16,0.223,0.49
USR_000160,trial,2,18-24,tier3,10,4,0,48,False,True,True,12,0.194,0.4
USR_000161,paid,19,25-34,tier1,9,5,18,281,True,True,True,7,0.555,0.61
USR_000162,paid,42,25-34,tier1,9,10,4,350,True,True,True,11,0.355,0.66
USR_000163,paid,58,18-24,tier1,10,13,25,361,True,False,True,7,0.317,0.65
USR_000164,paid,48,18-24,tier2,10,15,18,429,True,True,True,17,0.328,0.76
USR_000165,trial,7,35-44,tier1,9,3,4,27,True,False,False,17,0.215,0.7
USR_000166,trial,6,25-34,tier3,3,9,3,90,False,False,False,17,0.41,0.6
USR_000167,churned,51,35-44,tier2,0,0,0,21,False,False,False,17,0.114,0.14
USR_000168,inactive,47,25-34,tier1,0,0,0,9,False,False,False,18,0.06,0.21
USR_000169,trial,6,18-24,tier1,11,2,6,12,True,True,False,19,0.296,0.77
USR_000170,paid,46,25-34,tier2,5,14,3,344,True,True,False,19,0.441,0.65
USR_000171,paid,59,45+,tier1,11,5,16,182,False,False,True,10,0.259,0.55
USR_000172,trial,1,25-34,tier3,10,6,2,66,True,False,True,22,0.244,0.5
USR_000173,paid,116,25-34,tier2,12,6,22,174,False,True,True,13,0.391,0.86
USR_000174,paid,84,18-24,tier2,8,10,9,237,True,True,True,19,0.466,0.79
USR_000175,trial,5,25-34,tier1,10,5,1,60,False,False,True,16,0.376,0.56
USR_000176,paid,105,18-24,tier1,8,4,9,170,False,True,True,18,0.435,0.63
USR_000177,churned,40,35-44,tier2,2,0,0,16,False,False,False,19,0.02,0.22
USR_000178,trial,1,35-44,tier2,9,3,5,24,False,False,False,7,0.21,0.66
USR_000179,churned,166,35-44,tier2,0,1,0,6,False,False,False,21,0.095,0.29
USR_000180,trial,0,35-44,tier2,11,8,0,96,True,False,False,18,0.414,0.79
USR_000181,trial,6,25-34,tier2,7,7,6,70,False,True,False,14,0.422,0.45
USR_000182,paid,19,35-44,tier3,14,9,18,294,True,True,True,13,0.332,0.6
USR_000183,churned,174,18-24,tier2,2,1,0,10,True,False,False,9,0.126,0.33
USR_000184,paid,33,18-24,tier3,21,18,29,333,False,False,True,17,0.298,0.64
USR_000185,paid,37,18-24,tier2,13,6,6,200,True,True,True,18,0.268,0.6
USR_000186,inactive,23,25-34,tier1,0,0,0,41,False,False,False,20,0.066,0.07
USR_000187,inactive,15,18-24,tier2,1,0,0,6,False,False,False,18,0.022,0.1
USR_000188,trial,5,18-24,tier3,12,4,1,20,True,False,False,19,0.393,0.54
USR_000189,churned,162,25-34,tier2,1,0,0,40,False,False,False,15,0.045,0.29
USR_000190,paid,54,25-34,tier3,19,5,26,250,True,True,True,22,0.556,0.76
USR_000191,trial,0,18-24,tier1,12,5,2,35,False,True,True,20,0.36,0.76
USR_000192,trial,3,18-24,tier2,13,3,2,24,False,False,False,16,0.313,0.69
USR_000193,trial,7,18-24,tier2,9,2,5,20,True,True,True,8,0.34,0.73
USR_000194,paid,29,35-44,tier3,9,13,23,431,True,False,True,13,0.468,0.75
USR_000195,paid,15,25-34,tier2,13,12,13,185,True,True,True,10,0.429,0.61
USR_000196,trial,2,25-34,tier2,4,10,0,100,False,False,True,11,0.501,0.8
USR_000197,trial,0,18-24,tier2,5,9,7,117,True,True,True,22,0.305,0.88
USR_000198,paid,108,25-34,tier2,10,13,16,309,True,True,True,21,0.556,0.77
USR_000199,trial,5,25-34,tier1,8,7,0,56,False,True,False,13,0.217,0.54
USR_000200,paid,26,45+,tier3,13,4,23,231,True,True,True,20,0.32,0.77
USR_000201,trial,0,35-44,tier1,5,8,1,72,False,False,False,18,0.238,0.45
USR_000202,trial,1,45+,tier1,3,2,2,12,False,False,True,8,0.228,0.49
USR_000203,trial,0,35-44,tier2,4,8,0,56,False,True,True,9,0.446,0.71
USR_000204,trial,3,25-34,tier2,4,2,5,30,True,False,True,9,0.264,0.46
USR_000205,paid,41,25-34,tier2,19,5,31,125,True,False,True,20,0.519,0.59
USR_000206,inactive,69,18-24,tier3,1,0,0,2,False,False,False,16,0.074,0.22
USR_000207,paid,71,25-34,tier2,11,12,4,267,True,True,True,17,0.473,0.63
USR_000208,churned,154,25-34,tier2,1,1,0,30,True,False,True,20,0.046,0.18
USR_000209,paid,28,35-44,tier3,5,11,9,382,False,True,True,7,0.589,0.78
USR_000210,inactive,44,45+,tier1,0,0,0,12,True,False,False,13,0.05,0.22
USR_000211,churned,168,35-44,tier3,0,0,0,8,False,False,True,20,0.036,0.15
USR_000212,trial,5,18-24,tier3,3,3,5,45,True,False,True,11,0.355,0.47
USR_000213,paid,25,18-24,tier2,22,16,17,443,True,True,True,19,0.607,0.79
USR_000214,churned,105,35-44,tier2,0,1,0,39,False,False,False,5,0.09,0.36
USR_000215,trial,2,25-34,tier3,5,2,2,20,False,False,False,18,0.382,0.56
USR_000216,paid,16,18-24,tier1,10,15,23,504,True,True,True,17,0.521,0.52
USR_000217,paid,81,35-44,tier3,13,12,6,326,False,True,True,20,0.269,0.48
USR_000218,trial,1,18-24,tier3,6,10,6,100,False,False,True,18,0.191,0.75
USR_000219,trial,4,18-24,tier2,10,5,0,75,False,False,True,8,0.187,0.6
USR_000220,paid,34,25-34,tier1,7,7,4,251,True,True,True,18,0.334,0.84
USR_000221,paid,13,25-34,tier1,8,9,8,407,True,True,True,7,0.372,0.59
USR_000222,trial,6,18-24,tier2,13,8,7,112,True,True,True,22,0.179,0.69
USR_000223,inactive,32,35-44,tier2,0,0,0,27,False,False,False,13,0.086,0.28
USR_000224,trial,4,35-44,tier1,5,6,4,30,False,False,False,15,0.395,0.38
USR_000225,churned,137,25-34,tier2,0,0,0,34,False,True,True,19,0.105,0.27
USR_000226,inactive,76,35-44,tier2,1,0,0,44,False,False,False,12,0.07,0.14
USR_000227,trial,5,25-34,tier3,3,8,2,96,False,False,True,20,0.195,0.54
USR_000228,churned,52,18-24,tier3,0,0,0,19,False,False,False,19,0.036,0.32
USR_000229,churned,164,25-34,tier3,2,0,0,17,False,False,False,21,0.102,0.35
USR_000230,paid,23,25-34,tier2,15,7,17,199,False,True,True,14,0.561,0.7
USR_000231,trial,3,25-34,tier1,10,6,4,42,False,True,False,19,0.154,0.51
USR_000232,paid,40,25-34,tier1,13,16,21,487,True,True,True,16,0.368,0.78
USR_000233,churned,160,25-34,tier1,2,1,0,17,False,False,False,16,0.055,0.26
USR_000234,paid,99,35-44,tier2,18,12,7,325,True,True,True,18,0.414,0.69
USR_000235,churned,96,25-34,tier3,2,0,0,40,False,False,False,19,0.094,0.27
USR_000236,churned,159,35-44,tier2,0,0,0,11,False,False,False,17,0.079,0.25
USR_000237,inactive,42,35-44,tier2,0,0,0,40,False,False,False,19,0.044,0.23
USR_000238,paid,32,45+,tier1,10,13,10,398,True,False,True,7,0.375,0.51
USR_000239,trial,7,25-34,tier3,5,9,2,54,False,True,False,17,0.189,0.43
USR_000240,trial,6,25-34,tier2,12,5,0,75,False,True,True,20,0.207,0.5
USR_000241,trial,5,25-34,tier1,5,2,3,26,True,True,False,16,0.312,0.53
USR_000242,trial,5,35-44,tier3,10,5,4,40,False,False,True,7,0.427,0.43
USR_000243,churned,123,25-34,tier1,2,1,0,1,False,False,False,7,0.03,0.28
USR_000244,trial,1,18-24,tier2,9,6,1,84,False,True,False,20,0.266,0.75
USR_000245,churned,160,25-34,tier3,2,0,0,45,False,False,False,17,0.036,0.13
USR_000246,paid,34,18-24,tier2,17,12,10,219,True,True,True,18,0.538,0.51
USR_000247,inactive,51,25-34,tier2,0,0,0,48,False,False,False,15,0.018,0.27
USR_000248,inactive,35,18-24,tier1,0,0,0,29,False,False,False,12,0.036,0.12
USR_000249,trial,6,25-34,tier3,8,8,0,112,True,False,True,15,0.376,0.75
USR_000250,churned,121,18-24,tier2,2,1,0,4,False,False,False,22,0.069,0.32
USR_000251,trial,3,18-24,tier3,12,8,2,120,False,True,False,15,0.278,0.66
USR_000252,paid,86,18-24,tier3,6,14,7,314,False,True,True,18,0.396,0.88
USR_000253,paid,112,25-34,tier2,8,10,25,283,False,True,True,16,0.5,0.7
USR_000254,paid,19,25-34,tier1,16,16,19,438,True,True,True,14,0.605,0.86
USR_000255,trial,5,35-44,tier2,8,2,5,12,False,False,False,8,0.303,0.48
USR_000256,trial,6,18-24,tier1,4,7,1,77,True,True,False,20,0.223,0.87
USR_000257,trial,1,25-34,tier2,10,5,4,70,True,True,True,7,0.529,0.88
USR_000258,paid,30,25-34,tier3,15,6,25,222,False,True,True,21,0.387,0.55
USR_000259,paid,111,18-24,tier2,8,11,25,277,True,True,True,20,0.639,0.84
USR_000260,trial,2,25-34,tier2,12,7,7,98,False,True,True,14,0.321,0.65
USR_000261,inactive,82,25-34,tier2,0,0,0,10,True,False,False,9,0.063,0.18
USR_000262,inactive,21,25-34,tier1,1,0,0,47,False,False,False,19,0.065,0.06
USR_000263,paid,109,25-34,tier2,17,8,21,194,True,True,True,13,0.52,0.92
USR_000264,trial,7,35-44,tier3,9,8,4,72,False,False,False,18,0.479,0.65
USR_000265,paid,30,45+,tier1,12,4,3,116,True,True,False,5,0.392,0.51
USR_000266,trial,4,18-24,tier1,7,6,2,66,True,True,True,11,0.354,0.79
USR_000267,paid,35,25-34,tier2,15,9,11,255,True,True,True,19,0.56,0.93
USR_000268,paid,87,35-44,tier2,8,4,25,265,False,True,True,17,0.277,0.63
USR_000269,churned,79,25-34,tier1,0,0,0,13,False,False,False,9,0.094,0.37
USR_000270,inactive,82,25-34,tier1,1,0,0,2,False,False,False,6,0.059,0.15
USR_000271,trial,1,18-24,tier3,8,4,1,60,False,True,True,20,0.327,0.59
USR_000272,churned,41,18-24,tier3,2,0,0,25,False,False,True,21,0.06,0.13
USR_000273,churned,86,18-24,tier1,0,0,0,46,False,True,False,23,0.106,0.26
USR_000274,paid,119,45+,tier1,10,4,2,188,True,False,True,16,0.559,0.62
USR_000275,paid,28,25-34,tier2,8,13,10,502,False,True,True,19,0.563,0.55
USR_000276,trial,3,25-34,tier2,10,6,2,72,False,True,False,21,0.239,0.46
USR_000277,trial,2,25-34,tier2,8,5,2,50,True,True,True,19,0.299,0.61
USR_000278,trial,7,25-34,tier3,7,8,3,64,False,True,True,20,0.405,0.45
USR_000279,trial,1,35-44,tier1,9,7,3,91,False,False,True,5,0.254,0.69
USR_000280,paid,36,35-44,tier2,17,11,24,346,True,True,True,5,0.327,0.53
USR_000281,trial,2,18-24,tier2,11,6,2,60,False,True,True,10,0.213,0.51
USR_000282,paid,13,35-44,tier3,17,7,19,297,False,False,True,15,0.331,0.66
USR_000283,paid,40,35-44,tier1,9,14,14,358,False,True,True,16,0.415,0.56
USR_000284,trial,3,18-24,tier2,5,3,4,36,False,True,True,12,0.418,0.81
USR_000285,trial,0,18-24,tier3,5,3,4,39,False,False,True,13,0.419,0.47
USR_000286,inactive,16,25-34,tier2,1,0,0,26,False,False,False,16,0.026,0.29
USR_000287,paid,31,35-44,tier3,12,10,6,201,False,True,True,12,0.33,0.73
USR_000288,paid,113,35-44,tier2,6,5,14,258,True,True,True,6,0.449,0.73
USR_000289,churned,140,35-44,tier3,1,0,0,47,False,False,False,12,0.081,0.23
USR_000290,inactive,68,35-44,tier2,0,0,0,50,False,False,False,7,0.063,0.25
USR_000291,trial,6,25-34,tier2,9,7,2,70,True,False,True,20,0.29,0.58
USR_000292,paid,34,45+,tier2,9,13,14,262,True,True,True,8,0.487,0.59
USR_000293,churned,71,25-34,tier2,0,1,0,5,False,False,True,15,0.093,0.34
USR_000294,churned,52,25-34,tier2,0,0,0,38,False,False,False,17,0.086,0.11
USR_000295,trial,7,35-44,tier1,5,3,3,21,True,True,False,15,0.245,0.69
USR_000296,churned,70,25-34,tier2,0,0,0,35,False,False,True,19,0.123,0.3
USR_000297,trial,5,35-44,tier3,5,7,1,91,False,True,True,7,0.354,0.79
USR_000298,trial,4,18-24,tier3,11,9,4,108,False,False,False,21,0.504,0.75
USR_000299,churned,153,35-44,tier3,0,0,0,0,False,False,False,20,0.08,0.36
USR_000300,churned,132,18-24,tier2,2,1,0,43,False,False,False,15,0.133,0.38
USR_000301,inactive,44,18-24,tier3,1,0,0,43,False,False,False,12,0.071,0.1
USR_000302,inactive,83,25-34,tier1,1,0,0,48,False,False,False,12,0.02,0.12
USR_000303,inactive,87,18-24,tier1,0,0,0,7,True,False,False,21,0.044,0.28
USR_000304,churned,33,25-34,tier2,2,0,0,21,False,False,False,12,0.119,0.21
USR_000305,paid,97,25-34,tier1,15,8,13,328,True,False,True,20,0.514,0.67
USR_000306,paid,102,25-34,tier1,6,14,7,380,False,False,True,19,0.541,0.69
USR_000307,paid,96,25-34,tier2,7,7,10,264,True,True,True,14,0.512,0.88
USR_000308,trial,3,18-24,tier3,9,7,4,42,True,True,True,21,0.351,0.89
USR_000309,paid,26,18-24,tier2,20,14,32,411,True,True,True,11,0.393,0.69
USR_000310,churned,131,25-34,tier2,0,0,0,46,False,False,False,9,0.019,0.21
USR_000311,trial,1,18-24,tier3,5,5,0,30,False,True,False,19,0.548,0.87
USR_000312,trial,6,18-24,tier2,6,4,2,40,True,False,True,20,0.46,0.71
USR_000313,inactive,48,25-34,tier3,1,0,0,40,False,False,False,20,0.04,0.18
USR_000314,paid,77,18-24,tier2,9,6,13,284,True,True,True,21,0.324,0.69
USR_000315,paid,104,25-34,tier2,12,4,15,201,True,True,True,15,0.451,0.63
USR_000316,trial,6,25-34,tier2,5,2,4,26,False,False,False,12,0.378,0.66
USR_000317,churned,76,25-34,tier3,0,0,0,1,False,False,False,8,0.123,0.24
USR_000318,trial,7,18-24,tier2,11,4,1,20,True,True,False,6,0.315,0.65
USR_000319,trial,0,35-44,tier3,4,4,3,32,False,True,True,5,0.426,0.44
