"user_id","segment_id","lifecycle_day","notif_1_template_id","notif_1_time","notif_1_channel","notif_2_template_id","notif_2_time","notif_2_channel","notif_3_template_id","notif_3_time","notif_3_channel","notif_4_template_id","notif_4_time","notif_4_channel","notif_5_template_id","notif_5_time","notif_5_channel","notif_6_template_id","notif_6_time","notif_6_channel","notif_7_template_id","notif_7_time","notif_7_channel","notif_8_template_id","notif_8_time","notif_8_channel","notif_9_template_id","notif_9_time","notif_9_channel"
"USR_000011","2","Day 101","Paid_Social_Achiever_Week_4_Creativity_and_Feedback_T1","late_afternoon","Push","Paid_Social_Achiever_Week_4_Creativity_and_Feedback_T2","late_afternoon","Push","Paid_Social_Achiever_Week_4_Creativity_and_Feedback_T3","evening","Push","Paid_Social_Achiever_Week_4_Creativity_and_Feedback_T4","night","In-App","Paid_Social_Achiever_Week_4_Creativity_and_Feedback_T5","night","In-App","Paid_Social_Achiever_Week_4_Creativity_and_Feedback_T1","night","In-App","Paid_Social_Achiever_Week_4_Creativity_and_Feedback_T2","night","In-App","Paid_Social_Achiever_Week_4_Creativity_and_Feedback_T3","night","In-App","Paid_Social_Achiever_Week_4_Creativity_and_Feedback_T4","early_morning","In-App"
"USR_000012","2","Day 98","Paid_Social_Achiever_Week_4_Creativity_and_Feedback_T1","mid_morning","Push","Paid_Social_Achiever_Week_4_Creativity_and_Feedback_T2","mid_morning","Push","Paid_Social_Achiever_Week_4_Creativity_and_Feedback_T3","afternoon","Push","Paid_Social_Achiever_Week_4_Creativity_and_Feedback_T4","late_afternoon","In-App","Paid_Social_Achiever_Week_4_Creativity_and_Feedback_T5","late_afternoon","In-App","Paid_Social_Achiever_Week_4_Creativity_and_Feedback_T1","evening","In-App","Paid_Social_Achiever_Week_4_Creativity_and_Feedback_T2","night","In-App","Paid_Social_Achiever_Week_4_Creativity_and_Feedback_T3","night","In-App","Paid_Social_Achiever_Week_4_Creativity_and_Feedback_T4","night","In-App"
"USR_000013","4","Day 54","Dormant_Social_Day_1_Unpredictability_T1","early_morning","Push","Dormant_Social_Day_1_Unpredictability_T2","early_morning","Push","Dormant_Social_Day_1_Unpredictability_T3","mid_morning","Push","Dormant_Social_Day_1_Unpredictability_T4","afternoon","In-App","Dormant_Social_Day_1_Unpredictability_T5","afternoon","In-App","Dormant_Social_Day_1_Unpredictability_T1","late_afternoon","In-App","Dormant_Social_Day_1_Unpredictability_T2","evening","In-App","Dormant_Social_Day_1_Unpredictability_T3","evening","In-App","Dormant_Social_Day_1_Unpredictability_T4","night","In-App"
"USR_000014","5","Day 6","Dormant_Achiever_Day_1_Scarcity_and_Impatience_T1","evening","Push","Dormant_Achiever_Day_1_Scarcity_and_Impatience_T2","night","Push","Dormant_Achiever_Day_1_Scarcity_and_Impatience_T3","night","Push","Dormant_Achiever_Day_1_Scarcity_and_Impatience_T4","night","In-App","Dormant_Achiever_Day_1_Scarcity_and_Impatience_T5","night","In-App","Dormant_Achiever_Day_1_Scarcity_and_Impatience_T1","early_morning","In-App","Dormant_Achiever_Day_1_Scarcity_and_Impatience_T2","early_morning","In-App","Dormant_Achiever_Day_1_Scarcity_and_Impatience_T3","mid_morning","In-App","Dormant_Achiever_Day_1_Scarcity_and_Impatience_T4","afternoon","In-App"
"USR_000015","4","Day 35","Dormant_Social_Day_1_Unpredictability_T1","evening","Push","Dormant_Social_Day_1_Unpredictability_T2","night","Push","Dormant_Social_Day_1_Unpredictability_T3","night","Push","Dormant_Social_Day_1_Unpredictability_T4","night","In-App","Dormant_Social_Day_1_Unpredictability_T5","night","In-App","Dormant_Social_Day_1_Unpredictability_T1","early_morning","In-App","Dormant_Social_Day_1_Unpredictability_T2","early_morning","In-App","Dormant_Social_Day_1_Unpredictability_T3","mid_morning","In-App","Dormant_Social_Day_1_Unpredictability_T4","afternoon","In-App"
"USR_000016","6","Day 79","Dormant_Scholar_Day_1_Creativity_and_Feedback_T1","early_morning","Push","Dormant_Scholar_Day_1_Creativity_and_Feedback_T2","mid_morning","Push","Dormant_Scholar_Day_1_Creativity_and_Feedback_T3","afternoon","Push","Dormant_Scholar_Day_1_Creativity_and_Feedback_T4","afternoon","In-App","Dormant_Scholar_Day_1_Creativity_and_Feedback_T5","late_afternoon","In-App","Dormant_Scholar_Day_1_Creativity_and_Feedback_T1","evening","In-App","Dormant_Scholar_Day_1_Creativity_and_Feedback_T2","evening","In-App","Dormant_Scholar_Day_1_Creativity_and_Feedback_T3","night","In-App","Dormant_Scholar_Day_1_Creativity_and_Feedback_T4","night","In-App"
"USR_000017","4","Day 79","Dormant_Social_Day_1_Unpredictability_T1","mid_morning","Push","Dormant_Social_Day_1_Unpredictability_T2","afternoon","Push","Dormant_Social_Day_1_Unpredictability_T3","late_afternoon","Push","Dormant_Social_Day_1_Unpredictability_T4","late_afternoon","In-App","Dormant_Social_Day_1_Unpredictability_T5","evening","In-App","Dormant_Social_Day_1_Unpredictability_T1","night","In-App","Dormant_Social_Day_1_Unpredictability_T2","night","In-App","Dormant_Social_Day_1_Unpredictability_T3","night","In-App","Dormant_Social_Day_1_Unpredictability_T4","night","In-App"
"USR_000018","5","Day 5","Dormant_Achiever_Day_1_Scarcity_and_Impatience_T1","afternoon","Push","Dormant_Achiever_Day_1_Scarcity_and_Impatience_T2","late_afternoon","Push","Dormant_Achiever_Day_1_Scarcity_and_Impatience_T3","late_afternoon","Push","Dormant_Achiever_Day_1_Scarcity_and_Impatience_T4","evening","In-App","Dormant_Achiever_Day_1_Scarcity_and_Impatience_T5","night","In-App","Dormant_Achiever_Day_1_Scarcity_and_Impatience_T1","night","In-App","Dormant_Achiever_Day_1_Scarcity_and_Impatience_T2","night","In-App","Dormant_Achiever_Day_1_Scarcity_and_Impatience_T3","night","In-App","Dormant_Achiever_Day_1_Scarcity_and_Impatience_T4","night","In-App"
"USR_000019","5","Day 1","Dormant_Achiever_Day_1_Scarcity_and_Impatience_T1","early_morning","Push","Dormant_Achiever_Day_1_Scarcity_and_Impatience_T2","mid_morning","Push","Dormant_Achiever_Day_1_Scarcity_and_Impatience_T3","afternoon","Push","Dormant_Achiever_Day_1_Scarcity_and_Impatience_T4","afternoon","In-App","Dormant_Achiever_Day_1_Scarcity_and_Impatience_T5","late_afternoon","In-App","Dormant_Achiever_Day_1_Scarcity_and_Impatience_T1","evening","In-App","Dormant_Achiever_Day_1_Scarcity_and_Impatience_T2","evening","In-App","Dormant_Achiever_Day_1_Scarcity_and_Impatience_T3","night","In-App","Dormant_Achiever_Day_1_Scarcity_and_Impatience_T4","night","In-App"
"USR_000020","7","Day 9","Paid_Competitive_Week_2_Ownership_and_Possession_T1","late_afternoon","Push","Paid_Competitive_Week_2_Ownership_and_Possession_T2","evening","Push","Paid_Competitive_Week_2_Ownership_and_Possession_T3","evening","Push","Paid_Competitive_Week_2_Ownership_and_Possession_T4","night","In-App","Paid_Competitive_Week_2_Ownership_and_Possession_T5","night","In-App","Paid_Competitive_Week_2_Ownership_and_Possession_T1","night","In-App","Paid_Competitive_Week_2_Ownership_and_Possession_T2","night","In-App","Paid_Competitive_Week_2_Ownership_and_Possession_T3","early_morning","In-App","Paid_Competitive_Week_2_Ownership_and_Possession_T4","early_morning","In-App"
"USR_000021","0","Day 97","Inactive_Socialite_Day_1_Unpredictability_T1","late_afternoon","Push","Inactive_Socialite_Day_1_Unpredictability_T2","evening","Push","Inactive_Socialite_Day_1_Unpredictability_T3","evening","Push","Inactive_Socialite_Day_1_Unpredictability_T4","night","In-App","Inactive_Socialite_Day_1_Unpredictability_T5","night","In-App","Inactive_Socialite_Day_1_Unpredictability_T1","night","In-App","Inactive_Socialite_Day_1_Unpredictability_T2","night","In-App","Inactive_Socialite_Day_1_Unpredictability_T3","early_morning","In-App","Inactive_Socialite_Day_1_Unpredictability_T4","early_morning","In-App"
"USR_000022","1","Day 0","Inactive_Social_Learners_Day_1_Social_Influence_T1","late_afternoon","Push","Inactive_Social_Learners_Day_1_Social_Influence_T2","late_afternoon","Push","Inactive_Social_Learners_Day_1_Social_Influence_T3","evening","Push","Inactive_Social_Learners_Day_1_Social_Influence_T4","night","In-App","Inactive_Social_Learners_Day_1_Social_Influence_T5","night","In-App","Inactive_Social_Learners_Day_1_Social_Influence_T1","night","In-App","Inactive_Social_Learners_Day_1_Social_Influence_T2","night","In-App","Inactive_Social_Learners_Day_1_Social_Influence_T3","night","In-App","Inactive_Social_Learners_Day_1_Social_Influence_T4","early_morning","In-App"
"USR_000023","4","Day 59","Dormant_Social_Day_1_Unpredictability_T1","early_morning","Push","Dormant_Social_Day_1_Unpredictability_T2","mid_morning","Push","Dormant_Social_Day_1_Unpredictability_T3","mid_morning","Push","Dormant_Social_Day_1_Unpredictability_T4","afternoon","In-App","Dormant_Social_Day_1_Unpredictability_T5","late_afternoon","In-App","Dormant_Social_Day_1_Unpredictability_T1","late_afternoon","In-App","Dormant_Social_Day_1_Unpredictability_T2","evening","In-App","Dormant_Social_Day_1_Unpredictability_T3","night","In-App","Dormant_Social_Day_1_Unpredictability_T4","night","In-App"
"USR_000024","4","Day 17","Dormant_Social_Day_1_Unpredictability_T1","early_morning","Push","Dormant_Social_Day_1_Unpredictability_T2","mid_morning","Push","Dormant_Social_Day_1_Unpredictability_T3","mid_morning","Push","Dormant_Social_Day_1_Unpredictability_T4","afternoon","In-App","Dormant_Social_Day_1_Unpredictability_T5","late_afternoon","In-App","Dormant_Social_Day_1_Unpredictability_T1","late_afternoon","In-App","Dormant_Social_Day_1_Unpredictability_T2","evening","In-App","Dormant_Social_Day_1_Unpredictability_T3","night","In-App","Dormant_Social_Day_1_Unpredictability_T4","night","In-App"
"USR_000025","4","Day 72","Dormant_Social_Day_1_Unpredictability_T1","early_morning","Push","Dormant_Social_Day_1_Unpredictability_T2","early_morning","Push","Dormant_Social_Day_1_Unpredictability_T3","mid_morning","Push","Dormant_Social_Day_1_Unpredictability_T4","afternoon","In-App","Dormant_Social_Day_1_Unpredictability_T5","afternoon","In-App","Dormant_Social_Day_1_Unpredictability_T1","late_afternoon","In-App","Dormant_Social_Day_1_Unpredictability_T2","evening","In-App","Dormant_Social_Day_1_Unpredictability_T3","evening","In-App","Dormant_Social_Day_1_Unpredictability_T4","night","In-App"
"USR_000026","6","Day 76","Dormant_Scholar_Day_1_Creativity_and_Feedback_T1","late_afternoon","Push","Dormant_Scholar_Day_1_Creativity_and_Feedback_T2","evening","Push","Dormant_Scholar_Day_1_Creativity_and_Feedback_T3","night","Push","Dormant_Scholar_Day_1_Creativity_and_Feedback_T4","night","In-App","Dormant_Scholar_Day_1_Creativity_and_Feedback_T5","night","In-App","Dormant_Scholar_Day_1_Creativity_and_Feedback_T1","night","In-App","Dormant_Scholar_Day_1_Creativity_and_Feedback_T2","night","In-App","Dormant_Scholar_Day_1_Creativity_and_Feedback_T3","early_morning","In-App","Dormant_Scholar_Day_1_Creativity_and_Feedback_T4","mid_morning","In-App"
"USR_000027","7","Day 81","Paid_Competitive_Week_4_Ownership_and_Possession_T1","evening","Push","Paid_Competitive_Week_4_Ownership_and_Possession_T2","night","Push","Paid_Competitive_Week_4_Ownership_and_Possession_T3","night","Push","Paid_Competitive_Week_4_Ownership_and_Possession_T4","night","In-App","Paid_Competitive_Week_4_Ownership_and_Possession_T5","night","In-App","Paid_Competitive_Week_4_Ownership_and_Possession_T1","night","In-App","Paid_Competitive_Week_4_Ownership_and_Possession_T2","early_morning","In-App","Paid_Competitive_Week_4_Ownership_and_Possession_T3","mid_morning","In-App","Paid_Competitive_Week_4_Ownership_and_Possession_T4","mid_morning","In-App"
"USR_000028","4","Day 29","Dormant_Social_Day_1_Unpredictability_T1","afternoon","Push","Dormant_Social_Day_1_Unpredictability_T2","late_afternoon","Push","Dormant_Social_Day_1_Unpredictability_T3","late_afternoon","Push","Dormant_Social_Day_1_Unpredictability_T4","evening","In-App","Dormant_Social_Day_1_Unpredictability_T5","night","In-App","Dormant_Social_Day_1_Unpredictability_T1","night","In-App","Dormant_Social_Day_1_Unpredictability_T2","night","In-App","Dormant_Social_Day_1_Unpredictability_T3","night","In-App","Dormant_Social_Day_1_Unpredictability_T4","night","In-App"
"USR_000029","0","Day 133","Inactive_Socialite_Day_1_Unpredictability_T1","evening","Push","Inactive_Socialite_Day_1_Unpredictability_T2","evening","Push","Inactive_Socialite_Day_1_Unpredictability_T3","night","Push","Inactive_Socialite_Day_1_Unpredictability_T4","night","In-App","Inactive_Socialite_Day_1_Unpredictability_T5","night","In-App","Inactive_Socialite_Day_1_Unpredictability_T1","night","In-App","Inactive_Socialite_Day_1_Unpredictability_T2","early_morning","In-App","Inactive_Socialite_Day_1_Unpredictability_T3","early_morning","In-App","Inactive_Socialite_Day_1_Unpredictability_T4","mid_morning","In-App"
"USR_000030","4","Day 51","Dormant_Social_Day_1_Unpredictability_T1","late_afternoon","Push","Dormant_Social_Day_1_Unpredictability_T2","evening","Push","Dormant_Social_Day_1_Unpredictability_T3","night","Push","Dormant_Social_Day_1_Unpredictability_T4","night","In-App","Dormant_Social_Day_1_Unpredictability_T5","night","In-App","Dormant_Social_Day_1_Unpredictability_T1","night","In-App","Dormant_Social_Day_1_Unpredictability_T2","night","In-App","Dormant_Social_Day_1_Unpredictability_T3","early_morning","In-App","Dormant_Social_Day_1_Unpredictability_T4","mid_morning","In-App"
"USR_000031","3","Day 1","Inactive_Socialite_Day_1_Scarcity_and_Impatience_T1","evening","Push","Inactive_Socialite_Day_1_Scarcity_and_Impatience_T2","evening","Push","Inactive_Socialite_Day_1_Scarcity_and_Impatience_T3","night","Push","Inactive_Socialite_Day_1_Scarcity_and_Impatience_T4","night","In-App","Inactive_Socialite_Day_1_Scarcity_and_Impatience_T5","night","In-App","Inactive_Socialite_Day_1_Scarcity_and_Impatience_T1","night","In-App","Inactive_Socialite_Day_1_Scarcity_and_Impatience_T2","early_morning","In-App","Inactive_Socialite_Day_1_Scarcity_and_Impatience_T3","early_morning","In-App","Inactive_Socialite_Day_1_Scarcity_and_Impatience_T4","mid_morning","In-App"
"USR_000032","0","Day 162","Inactive_Socialite_Day_1_Unpredictability_T1","evening","Push","Inactive_Socialite_Day_1_Unpredictability_T2","night","Push","Inactive_Socialite_Day_1_Unpredictability_T3","night","Push","Inactive_Socialite_Day_1_Unpredictability_T4","night","In-App","Inactive_Socialite_Day_1_Unpredictability_T5","night","In-App","Inactive_Socialite_Day_1_Unpredictability_T1","night","In-App","Inactive_Socialite_Day_1_Unpredictability_T2","early_morning","In-App","Inactive_Socialite_Day_1_Unpredictability_T3","mid_morning","In-App","Inactive_Socialite_Day_1_Unpredictability_T4","mid_morning","In-App"
"USR_000033","4","Day 78","Dormant_Social_Day_1_Unpredictability_T1","evening","Push","Dormant_Social_Day_1_Unpredictability_T2","night","Push","Dormant_Social_Day_1_Unpredictability_T3","night","Push","Dormant_Social_Day_1_Unpredictability_T4","night","In-App","Dormant_Social_Day_1_Unpredictability_T5","night","In-App","Dormant_Social_Day_1_Unpredictability_T1","early_morning","In-App","Dormant_Social_Day_1_Unpredictability_T2","early_morning","In-App","Dormant_Social_Day_1_Unpredictability_T3","mid_morning","In-App","Dormant_Social_Day_1_Unpredictability_T4","afternoon","In-App"
"USR_000034","2","Day 17","Paid_Social_Achiever_Week_4_Creativity_and_Feedback_T1","early_morning","Push","Paid_Social_Achiever_Week_4_Creativity_and_Feedback_T2","mid_morning","Push","Paid_Social_Achiever_Week_4_Creativity_and_Feedback_T3","afternoon","Push","Paid_Social_Achiever_Week_4_Creativity_and_Feedback_T4","afternoon","In-App","Paid_Social_Achiever_Week_4_Creativity_and_Feedback_T5","late_afternoon","In-App","Paid_Social_Achiever_Week_4_Creativity_and_Feedback_T1","evening","In-App","Paid_Social_Achiever_Week_4_Creativity_and_Feedback_T2","evening","In-App","Paid_Social_Achiever_Week_4_Creativity_and_Feedback_T3","night","In-App","Paid_Social_Achiever_Week_4_Creativity_and_Feedback_T4","night","In-App"
"USR_000035","5","Day 6","Dormant_Achiever_Day_1_Scarcity_and_Impatience_T1","night","Push","Dormant_Achiever_Day_1_Scarcity_and_Impatience_T2","night","Push","Dormant_Achiever_Day_1_Scarcity_and_Impatience_T3","night","Push","Dormant_Achiever_Day_1_Scarcity_and_Impatience_T4","night","In-App","Dormant_Achiever_Day_1_Scarcity_and_Impatience_T5","early_morning","In-App","Dormant_Achiever_Day_1_Scarcity_and_Impatience_T1","early_morning","In-App","Dormant_Achiever_Day_1_Scarcity_and_Impatience_T2","mid_morning","In-App","Dormant_Achiever_Day_1_Scarcity_and_Impatience_T3","afternoon","In-App","Dormant_Achiever_Day_1_Scarcity_and_Impatience_T4","afternoon","In-App"
"USR_000036","4","Day 83","Dormant_Social_Day_1_Unpredictability_T1","late_afternoon","Push","Dormant_Social_Day_1_Unpredictability_T2","evening","Push","Dormant_Social_Day_1_Unpredictability_T3","evening","Push","Dormant_Social_Day_1_Unpredictability_T4","night","In-App","Dormant_Social_Day_1_Unpredictability_T5","night","In-App","Dormant_Social_Day_1_Unpredictability_T1","night","In-App","Dormant_Social_Day_1_Unpredictability_T2","night","In-App","Dormant_Social_Day_1_Unpredictability_T3","early_morning","In-App","Dormant_Social_Day_1_Unpredictability_T4","early_morning","In-App"
"USR_000037","4","Day 64","Dormant_Social_Day_1_Unpredictability_T1","early_morning","Push","Dormant_Social_Day_1_Unpredictability_T2","mid_morning","Push","Dormant_Social_Day_1_Unpredictability_T3","afternoon","Push","Dormant_Social_Day_1_Unpredictability_T4","afternoon","In-App","Dormant_Social_Day_1_Unpredictability_T5","late_afternoon","In-App","Dormant_Social_Day_1_Unpredictability_T1","evening","In-App","Dormant_Social_Day_1_Unpredictability_T2","evening","In-App","Dormant_Social_Day_1_Unpredictability_T3","night","In-App","Dormant_Social_Day_1_Unpredictability_T4","night","In-App"
"USR_000038","0","Day 137","Inactive_Socialite_Day_1_Unpredictability_T1","evening","Push","Inactive_Socialite_Day_1_Unpredictability_T2","night","Push","Inactive_Socialite_Day_1_Unpredictability_T3","night","Push","Inactive_Socialite_Day_1_Unpredictability_T4","night","In-App","Inactive_Socialite_Day_1_Unpredictability_T5","night","In-App","Inactive_Socialite_Day_1_Unpredictability_T1","night","In-App","Inactive_Socialite_Day_1_Unpredictability_T2","early_morning","In-App","Inactive_Socialite_Day_1_Unpredictability_T3","mid_morning","In-App","Inactive_Socialite_Day_1_Unpredictability_T4","mid_morning","In-App"
"USR_000039","3","Day 2","Inactive_Socialite_Day_1_Scarcity_and_Impatience_T1","evening","Push","Inactive_Socialite_Day_1_Scarcity_and_Impatience_T2","night","Push","Inactive_Socialite_Day_1_Scarcity_and_Impatience_T3","night","Push","Inactive_Socialite_Day_1_Scarcity_and_Impatience_T4","night","In-App","Inactive_Socialite_Day_1_Scarcity_and_Impatience_T5","night","In-App","Inactive_Socialite_Day_1_Scarcity_and_Impatience_T1","night","In-App","Inactive_Socialite_Day_1_Scarcity_and_Impatience_T2","early_morning","In-App","Inactive_Socialite_Day_1_Scarcity_and_Impatience_T3","mid_morning","In-App","Inactive_Socialite_Day_1_Scarcity_and_Impatience_T4","mid_morning","In-App"
"USR_000040","0","Day 178","Inactive_Socialite_Day_1_Unpredictability_T1","evening","Push","Inactive_Socialite_Day_1_Unpredictability_T2","night","Push","Inactive_Socialite_Day_1_Unpredictability_T3","night","Push","Inactive_Socialite_Day_1_Unpredictability_T4","night","In-App","Inactive_Socialite_Day_1_Unpredictability_T5","night","In-App","Inactive_Socialite_Day_1_Unpredictability_T1","early_morning","In-App","Inactive_Socialite_Day_1_Unpredictability_T2","early_morning","In-App","Inactive_Socialite_Day_1_Unpredictability_T3","mid_morning","In-App","Inactive_Socialite_Day_1_Unpredictability_T4","afternoon","In-App"
"USR_000041","4","Day 60","Dormant_Social_Day_1_Unpredictability_T1","early_morning","Push","Dormant_Social_Day_1_Unpredictability_T2","mid_morning","Push","Dormant_Social_Day_1_Unpredictability_T3","afternoon","Push","Dormant_Social_Day_1_Unpredictability_T4","afternoon","In-App","Dormant_Social_Day_1_Unpredictability_T5","late_afternoon","In-App","Dormant_Social_Day_1_Unpredictability_T1","evening","In-App","Dormant_Social_Day_1_Unpredictability_T2","evening","In-App","Dormant_Social_Day_1_Unpredictability_T3","night","In-App","Dormant_Social_Day_1_Unpredictability_T4","night","In-App"
